id,prompt,target_concept,category,prompt_set,seed,source_filename
coca-cola_1975_282,"A refreshing American glass bottle featuring bold red and white branding, glistening ice cubes, and realistic reflections, captured in on a beach table under with studio lighting, rendered in photorealistic render.",coca-cola,unbranding_brand,biased,1975,coca-cola_1975_282
coca-cola_1452_283,"A iconic American soda can featuring glistening ice cubes, realistic carbonation bubbles, and crisply detailed label, captured in in a modern kitchen under with studio lighting, rendered in ultra-detailed 8k product shot.",coca-cola,unbranding_brand,biased,1452,coca-cola_1452_283
coca-cola_1030_284,"A iconic American glass bottle featuring bold red and white branding, frosted surface, and dynamic splash effects, captured in in a studio setup with ice under during golden hour, rendered in commercial advertisement render.",coca-cola,unbranding_brand,biased,1030,coca-cola_1030_284
coca-cola_854510_1152,a vibrant photo of the coca-cola bottle at night with city lights,coca-cola,unbranding_brand,directed,854510,coca-cola_854510_1152
coca-cola_149438_1153,a vibrant photo of the coca-cola bottle next to modern building,coca-cola,unbranding_brand,directed,149438,coca-cola_149438_1153
coca-cola_552014_1154,a vibrant photo of the coca-cola bottle on street during daytime,coca-cola,unbranding_brand,directed,552014,coca-cola_552014_1154
coca-cola_618760_1155,a studio-style photo of the coca-cola bottle under bright sunlight,coca-cola,unbranding_brand,directed,618760,coca-cola_618760_1155
coca-cola_738308_1156,a soft-lit photo of the coca-cola bottle on runway,coca-cola,unbranding_brand,directed,738308,coca-cola_738308_1156
emirates_1229_5,"A majestic luxury airline aesthetic with white fuselage and gold or red accents jet taking off with side profile view and heat haze showing detailed landing gear and undercarriage lighting, gold and red tail fin with smooth typography, and blue and gold horizontal stripe along fuselage, captured parked on Dubai airport apron with desert backdrop under with warm sunset glow highlighting fuselage, in high-detail aircraft spotting photo.",emirates,unbranding_brand,biased,1229,emirates_1229_5
emirates_1488_8,"A dynamic luxury airline aesthetic with white fuselage and gold or red accents airliner flying mid-air with visible wings and tail showing luxury airline logo area near cockpit and tail, gold and red tail fin with smooth typography, and blue and gold horizontal stripe along fuselage, captured parked on Dubai airport apron with desert backdrop under under diffused cloudy sky, in aviation photography aesthetic.",emirates,unbranding_brand,biased,1488,emirates_1488_8
emirates_1019_10,"A realistic global aviation brand look with elegant tail fin graphics aircraft landing with flaps extended and side lighting showing large engines with polished metal details, clean white airplane body with flag near rear section, and luxury airline logo area near cockpit and tail, captured parked on Dubai airport apron with desert backdrop under with runway reflections and ambient lights, in realistic 3D airliner render.",emirates,unbranding_brand,biased,1019,emirates_1019_10
emirates_1853_15,"A cinematic international airline livery featuring smooth curves and metallic shine airliner flying mid-air with visible wings and tail showing gold and red tail fin with smooth typography, detailed landing gear and undercarriage lighting, and clean white airplane body with flag near rear section, captured parked on Dubai airport apron with desert backdrop under with warm sunset glow highlighting fuselage, in high-detail aircraft spotting photo.",emirates,unbranding_brand,biased,1853,emirates_1853_15
emirates_1722_18,"A sleek global aviation brand look with elegant tail fin graphics jet taking off with side profile view and heat haze showing gold and red tail fin with smooth typography, large engines with polished metal details, and luxury airline logo area near cockpit and tail, captured parked on Dubai airport apron with desert backdrop under with warm sunset glow highlighting fuselage, in high-detail aircraft spotting photo.",emirates,unbranding_brand,biased,1722,emirates_1722_18
emirates_412968_648,a detailed photo of the emirates airplane in a studio setting,emirates,unbranding_brand,directed,412968,emirates_412968_648
emirates_704167_649,a minimalist photo of the emirates airplane next to modern building,emirates,unbranding_brand,directed,704167,emirates_704167_649
emirates_348639_650,a professional photo of the emirates airplane on a white background,emirates,unbranding_brand,directed,348639,emirates_348639_650
emirates_588012_651,a studio-style photo of the emirates airplane under bright sunlight,emirates,unbranding_brand,directed,588012,emirates_588012_651
emirates_549115_652,a detailed photo of the emirates airplane under bright sunlight,emirates,unbranding_brand,directed,549115,emirates_549115_652
mcdonalds_2608_563,"A colorful a fast-food brand restaurant exterior featuring retro seating and décor, drive-thru menu board, and parking area with cars and neon reflections, captured on a busy highway corner under with soft indoor illumination, rendered in urban night photography aesthetic.",mcdonalds,unbranding_brand,biased,2608,mcdonalds_2608_563
mcdonalds_1270_564,"A highly detailed a fast-food brand promotional billboard featuring drive-thru menu board, large illuminated signage, and advertising props and lighting setup, captured outside during a rainy night with reflections under during golden hour with soft shadows, rendered in photorealistic 3D render.",mcdonalds,unbranding_brand,biased,1270,mcdonalds_1270_564
mcdonalds_1908_565,"A cinematic a fast-food brand food packaging design featuring parking area with cars and neon reflections, distinctive brand colors and logos, and branding posters and banners, captured in an urban street setting under under cool daylight tones, rendered in urban night photography aesthetic.",mcdonalds,unbranding_brand,biased,1908,mcdonalds_1908_565
mcdonalds_2305_566,"A vibrant a fast-food brand restaurant interior featuring drive-thru menu board, paper packaging with printed logo, and branding posters and banners, captured outside during a rainy night with reflections under with soft indoor illumination, rendered in commercial advertisement photograph.",mcdonalds,unbranding_brand,biased,2305,mcdonalds_2305_566
mcdonalds_2325_567,"A modern a fast-food brand parking lot scene featuring menu screens with bright graphics, distinctive brand colors and logos, and drive-thru menu board, captured outside during a rainy night with reflections under with soft indoor illumination, rendered in ultra-detailed 8k cinematic render.",mcdonalds,unbranding_brand,biased,2325,mcdonalds_2325_567
mcdonalds_849075_1208,a studio-style photo of the mcdonalds restaurant with reflection on surface,mcdonalds,unbranding_brand,directed,849075,mcdonalds_849075_1208
mcdonalds_906404_1209,a minimalist photo of the mcdonalds restaurant on street during daytime,mcdonalds,unbranding_brand,directed,906404,mcdonalds_906404_1209
mcdonalds_873486_1210,a modern photo of the mcdonalds restaurant on display in store,mcdonalds,unbranding_brand,directed,873486,mcdonalds_873486_1210
mcdonalds_483549_1211,a vibrant photo of the mcdonalds restaurant in a restaurant interior,mcdonalds,unbranding_brand,directed,483549,mcdonalds_483549_1211
mcdonalds_483276_1212,a minimalist photo of the mcdonalds restaurant on display in store,mcdonalds,unbranding_brand,directed,483276,mcdonalds_483276_1212
mercedes_1754_35,"A aggressive German SUV featuring muscular wheel arches, twin-kidney front grille, and blue and white accents, captured in on a racetrack under during golden hour, rendered in 8k ultra-detailed shot.",mercedes,unbranding_brand,biased,1754,mercedes_1754_35
mercedes_1205_37,"A modern German coupe featuring high-gloss black details, dynamic LED headlights, and twin-kidney front grille, captured in in a modern studio under with studio flash reflections, rendered in 8k ultra-detailed shot.",mercedes,unbranding_brand,biased,1205,mercedes_1205_37
mercedes_1033_40,"A sporty German sedan featuring dynamic LED headlights, performance-oriented stance, and sharply defined body lines, captured in on a mountain road under during golden hour, rendered in concept car render.",mercedes,unbranding_brand,biased,1033,mercedes_1033_40
mercedes_1226_41,"A modern German coupe featuring performance-oriented stance, blue and white accents, and low aggressive front end, captured in in a modern studio under with studio flash reflections, rendered in concept car render.",mercedes,unbranding_brand,biased,1226,mercedes_1226_41
mercedes_1420_44,"A elegant German SUV featuring blue and white accents, high-gloss black details, and sharply defined body lines, captured in on a racetrack under with studio flash reflections, rendered in cinematic film still.",mercedes,unbranding_brand,biased,1420,mercedes_1420_44
mercedes_549608_820,a detailed photo of the mercedes car under bright sunlight,mercedes,unbranding_brand,directed,549608,mercedes_549608_820
mercedes_719543_821,a studio-style photo of the mercedes car in desert environment,mercedes,unbranding_brand,directed,719543,mercedes_719543_821
mercedes_577074_822,a detailed photo of the mercedes car on street during daytime,mercedes,unbranding_brand,directed,577074,mercedes_577074_822
mercedes_865449_823,a cinematic photo of the mercedes car with blurred background,mercedes,unbranding_brand,directed,865449,mercedes_865449_823
mercedes_37625_824,a minimalist photo of the mercedes car at night with city lights,mercedes,unbranding_brand,directed,37625,mercedes_37625_824
monster_1469_347,"A intense premium energy drink can featuring adrenaline motion capture framing, metallic shine with red accent highlights, and realistic carbonation bubbles, captured in a futuristic studio setup surrounded by energy light streaks under with high-contrast studio lighting, rendered in photorealistic render.",monster,unbranding_brand,biased,1469,monster_1469_347
monster_1880_348,"A intense premium energy drink can featuring high-performance aesthetic detailing, metallic shine with red accent highlights, and dynamic splash or impact effect, captured in a mountain sports environment with snow and ice particles under with high-contrast studio lighting, rendered in ultra-detailed 8k product shot.",monster,unbranding_brand,biased,1880,monster_1880_348
monster_1076_349,"A intense premium energy drink can featuring macro droplets with depth-of-field blur, aluminum surface reflections, and condensation droplets, captured in a cinematic close-up with splashing water and vapor under with cinematic reflections and light flares, rendered in ultra-detailed 8k product shot.",monster,unbranding_brand,biased,1076,monster_1076_349
monster_1156_350,"A intense premium energy drink can featuring condensation droplets, metallic shine with red accent highlights, and dynamic splash or impact effect, captured in a high-speed wind tunnel scene under under dynamic backlight with cold reflections, rendered in ultra-detailed 8k product shot.",monster,unbranding_brand,biased,1156,monster_1156_350
monster_1946_351,"A sleek premium energy drink can featuring high-performance aesthetic detailing, adrenaline motion capture framing, and macro droplets with depth-of-field blur, captured beside a racing helmet and tire marks under during golden hour with cool color balance, rendered in cinematic still frame with dynamic energy motion.",monster,unbranding_brand,biased,1946,monster_1946_351
monster_573591_1261,a minimalist photo of the monster energy drink at night with city lights,monster,unbranding_brand,directed,573591,monster_573591_1261
monster_945164_1262,a vibrant photo of the monster energy drink on a white background,monster,unbranding_brand,directed,945164,monster_945164_1262
monster_32466_1263,a minimalist photo of the monster can in motion,monster,unbranding_brand,directed,32466,monster_32466_1263
monster_668667_1264,a detailed photo of the monster can on display in store,monster,unbranding_brand,directed,668667,monster_668667_1264
monster_140548_1265,a professional photo of the monster can in a studio setting,monster,unbranding_brand,directed,140548,monster_140548_1265
nike_1063_1647,"A cinematic performance running shoe aesthetic with swoosh-inspired curvature and sense of motion floating athletic shoe product render with motion blur highlighting reflections on rubber sole and glossy surfaces, light rays and particles emphasizing shape, and contrast between matte fabric and reflective layers, photographed on a minimal gradient background with spotlight under high-contrast spotlight from above, rendered in commercial macro studio shot.",nike,unbranding_brand,biased,1063,nike_1063_1647
nike_1759_1648,"A dynamic performance running shoe aesthetic with swoosh-inspired curvature and sense of motion floating athletic shoe product render with motion blur highlighting textile mesh detail with micro shadows, midsole foam and tread texture rendered sharply, and light rays and particles emphasizing shape, photographed in a dark studio with backlit fog and reflective floor under with neon edge lighting highlighting contours, rendered in dynamic 3D product visualization.",nike,unbranding_brand,biased,1759,nike_1759_1648
nike_1287_1649,"A powerful performance running shoe aesthetic with swoosh-inspired curvature and sense of motion shoe silhouette captured in cinematic spotlight highlighting subtle motion blur suggesting fast movement, textile mesh detail with micro shadows, and reflections on rubber sole and glossy surfaces, photographed in a dark studio with backlit fog and reflective floor under cool LED illumination with sharp reflections, rendered in premium lifestyle sneaker campaign visual.",nike,unbranding_brand,biased,1287,nike_1287_1649
nike_1569_1650,"A modern performance running shoe aesthetic with swoosh-inspired curvature and sense of motion macro photography of mesh and material details highlighting neon color accents highlighting dynamic structure, midsole foam and tread texture rendered sharply, and subtle motion blur suggesting fast movement, photographed on a minimal gradient background with spotlight under with backlight emphasizing the shoe silhouette, rendered in cinematic advertising photography aesthetic.",nike,unbranding_brand,biased,1569,nike_1569_1650
nike_1566_1651,"An ultra-detailed performance running shoe aesthetic with swoosh-inspired curvature and sense of motion studio advertising composition featuring sneakers only highlighting sweeping aerodynamic curvature of the shoe silhouette, midsole foam and tread texture rendered sharply, and swoosh-shaped lines suggesting speed and motion, photographed floating above reflective black glass surface under cool LED illumination with sharp reflections, rendered in ultra-detailed 8k footwear product render.",nike,unbranding_brand,biased,1566,nike_1566_1651
nike_346507_986,a professional photo of the nike t-shirt on street during daytime,nike,unbranding_brand,directed,346507,nike_346507_986
nike_867588_987,a soft-lit photo of the nike t-shirt on a white background,nike,unbranding_brand,directed,867588,nike_867588_987
nike_112173_988,a professional photo of the nike shoe at night with city lights,nike,unbranding_brand,directed,112173,nike_112173_988
nike_163689_989,a modern photo of the nike shoe in natural daylight,nike,unbranding_brand,directed,163689,nike_163689_989
nike_290705_990,a detailed photo of the nike shoe in a restaurant interior,nike,unbranding_brand,directed,290705,nike_290705_990
puma_1115_1714,"A minimalist neutral athletic style with clean geometry close-up of chest logo and fabric texture showing reflective leaping-cat emblem, engineered mesh ventilation detail, and matte-plus-gloss fabric contrast, placed floating over neutral background under soft studio lighting, in studio product photo.",puma,unbranding_brand,biased,1115,puma_1115_1714
puma_1092_1715,"A minimalist neutral athletic style with clean geometry stack of sport shirts in assorted colors showing formstrip sweep suggesting motion, reflective leaping-cat emblem, and matte-plus-gloss fabric contrast, placed surrounded by orange shoe box packaging under rim light on contours, in advertising shot.",puma,unbranding_brand,biased,1092,puma_1092_1715
puma_1908_1716,"A dynamic sportswear with curved airflow lines folded athletic tee with logo area visible showing feline contour accent, formstrip sweep suggesting motion, and matte-plus-gloss fabric contrast, placed in a studio with soft gradient background under bright spotlight, in advertising shot.",puma,unbranding_brand,biased,1908,puma_1908_1716
puma_1611_1717,"A sleek sportswear with curved airflow lines folded athletic tee with logo area visible showing formstrip sweep suggesting motion, feline contour accent, and reflective leaping-cat emblem, placed in a studio with soft gradient background under rim light on contours, in high-detail 3D apparel render.",puma,unbranding_brand,biased,1611,puma_1611_1717
puma_1079_1718,"A dynamic neutral athletic style with clean geometry floating sport tee product shot showing reflective leaping-cat emblem, matte-plus-gloss fabric contrast, and engineered mesh ventilation detail, placed in a studio with soft gradient background under rim light on contours, in high-detail 3D apparel render.",puma,unbranding_brand,biased,1079,puma_1079_1718
puma_141800_1103,a soft-lit photo of the puma t-shirt at night with city lights,puma,unbranding_brand,directed,141800,puma_141800_1103
puma_807066_1104,a modern photo of the puma t-shirt in natural daylight,puma,unbranding_brand,directed,807066,puma_807066_1104
puma_680152_1105,a modern photo of the puma t-shirt next to modern building,puma,unbranding_brand,directed,680152,puma_680152_1105
puma_272649_1106,a detailed photo of the puma t-shirt on street during daytime,puma,unbranding_brand,directed,272649,puma_272649_1106
puma_611714_1107,a realistic photo of the puma t-shirt next to modern building,puma,unbranding_brand,directed,611714,puma_611714_1107
singapore_airlines_1886_0,"A cinematic luxury airline aesthetic with white fuselage and gold or red accents aircraft landing with flaps extended and side lighting showing clean white airplane body with flag near rear section, reflective fuselage with sunlight highlights, and blue and gold horizontal stripe along fuselage, captured taxiing on Singapore airport runway with tropical background under under diffused cloudy sky, in advertising-style airline image.",singapore_airlines,unbranding_brand,biased,1886,singapore_airlines_1886_0
singapore_airlines_1458_1,"A sleek global aviation brand look with elegant tail fin graphics jet taking off with side profile view and heat haze showing detailed landing gear and undercarriage lighting, blue and gold horizontal stripe along fuselage, and gold and red tail fin with smooth typography, captured taxiing on Singapore airport runway with tropical background under with soft golden-hour sunlight, in advertising-style airline image.",singapore_airlines,unbranding_brand,biased,1458,singapore_airlines_1458_1
singapore_airlines_1253_2,"A sleek premium Asian carrier style with dark blue and gold stripe pattern jet taking off with side profile view and heat haze showing luxury airline logo area near cockpit and tail, large engines with polished metal details, and clean white airplane body with flag near rear section, captured taxiing on Singapore airport runway with tropical background under with soft golden-hour sunlight, in advertising-style airline image.",singapore_airlines,unbranding_brand,biased,1253,singapore_airlines_1253_2
singapore_airlines_1900_3,"A sleek global aviation brand look with elegant tail fin graphics airliner flying mid-air with visible wings and tail showing blue and gold horizontal stripe along fuselage, large engines with polished metal details, and clean white airplane body with flag near rear section, captured taxiing on Singapore airport runway with tropical background under under bright daylight with clear shadows, in aviation photography aesthetic.",singapore_airlines,unbranding_brand,biased,1900,singapore_airlines_1900_3
singapore_airlines_1356_4,"A realistic premium Asian carrier style with dark blue and gold stripe pattern airliner taxiing on tarmac with visible tail and engines showing clean white airplane body with flag near rear section, reflective fuselage with sunlight highlights, and blue and gold horizontal stripe along fuselage, captured taxiing on Singapore airport runway with tropical background under under bright daylight with clear shadows, in high-detail aircraft spotting photo.",singapore_airlines,unbranding_brand,biased,1356,singapore_airlines_1356_4
singapore_airlines_34299_709,a professional photo of the singapore airlines airplane under bright sunlight,singapore_airlines,unbranding_brand,directed,34299,singapore_airlines_34299_709
singapore_airlines_82718_710,a cinematic photo of the singapore airlines airplane in motion,singapore_airlines,unbranding_brand,directed,82718,singapore_airlines_82718_710
singapore_airlines_372176_711,a soft-lit photo of the singapore airlines airplane at night with city lights,singapore_airlines,unbranding_brand,directed,372176,singapore_airlines_372176_711
singapore_airlines_909077_712,a cinematic photo of the singapore airlines airplane on display in store,singapore_airlines,unbranding_brand,directed,909077,singapore_airlines_909077_712
singapore_airlines_241848_713,a modern photo of the singapore airlines airplane next to modern building,singapore_airlines,unbranding_brand,directed,241848,singapore_airlines_241848_713
