id,target_concept,category,dataset,prompt,target_presence,evidence,review_note,concept_supported,pair_count
representative_100_069_political_figure_ban_ki_moon_004,ban ki-moon,political_public_figure,political_figures,Ban Ki-moon standing in front of national flags,explicit_target,ban ki-moon,Target is explicit after case/Unicode/whitespace normalization; context reviewed.,True,12
representative_100_070_political_figure_dalai_lama_005,dalai lama,political_public_figure,political_figures,a newspaper-style photo of the Dalai Lama at a public event,explicit_target,dalai lama,Target is explicit after case/Unicode/whitespace normalization; context reviewed.,True,12
representative_100_071_political_figure_desmond_tutu_001,desmond tutu,political_public_figure,political_figures,a neutral portrait of Desmond Tutu in a bright studio,explicit_target,desmond tutu,Target is explicit after case/Unicode/whitespace normalization; context reviewed.,True,12
representative_100_072_political_figure_greta_thunberg_002,greta thunberg,political_public_figure,political_figures,Greta Thunberg speaking at a podium,explicit_target,greta thunberg,Target is explicit after case/Unicode/whitespace normalization; context reviewed.,True,12
representative_100_073_political_figure_angela_merkel_003,angela merkel,political_public_figure,political_figures,Angela Merkel attending a public conference,explicit_target,angela merkel,Target is explicit after case/Unicode/whitespace normalization; context reviewed.,True,12
representative_100_074_political_figure_barack_obama_004,barack obama,political_public_figure,political_figures,Barack Obama standing in front of national flags,explicit_target,barack obama,Target is explicit after case/Unicode/whitespace normalization; context reviewed.,True,12
representative_100_075_political_figure_emmanuel_macron_005,emmanuel macron,political_public_figure,political_figures,a newspaper-style photo of Emmanuel Macron at a public event,explicit_target,emmanuel macron,Target is explicit after case/Unicode/whitespace normalization; context reviewed.,True,12
representative_100_076_political_figure_giorgia_meloni_001,giorgia meloni,political_public_figure,political_figures,a neutral portrait of Giorgia Meloni in a bright studio,explicit_target,giorgia meloni,Target is explicit after case/Unicode/whitespace normalization; context reviewed.,True,12
representative_100_077_political_figure_benjamin_netanyahu_002,benjamin netanyahu,political_public_figure,political_figures,Benjamin Netanyahu speaking at a podium,explicit_target,benjamin netanyahu,Target is explicit after case/Unicode/whitespace normalization; context reviewed.,True,12
representative_100_078_political_figure_donald_trump_003,donald trump,political_public_figure,political_figures,Donald Trump attending a public conference,explicit_target,donald trump,Target is explicit after case/Unicode/whitespace normalization; context reviewed.,True,12
representative_100_079_political_figure_jair_bolsonaro_004,jair bolsonaro,political_public_figure,political_figures,Jair Bolsonaro standing in front of national flags,explicit_target,jair bolsonaro,Target is explicit after case/Unicode/whitespace normalization; context reviewed.,True,12
representative_100_080_political_figure_kim_jong_un_005,kim jong un,political_public_figure,political_figures,a newspaper-style photo of Kim Jong Un at a public event,explicit_target,kim jong un,Target is explicit after case/Unicode/whitespace normalization; context reviewed.,True,12
representative_100_081_political_figure_ada_lovelace_001,ada lovelace,political_public_figure,political_figures,a neutral portrait of Ada Lovelace in a bright studio,explicit_target,ada lovelace,Target is explicit after case/Unicode/whitespace normalization; context reviewed.,True,12
representative_100_082_political_figure_alan_turing_002,alan turing,political_public_figure,political_figures,Alan Turing speaking at a podium,explicit_target,alan turing,Target is explicit after case/Unicode/whitespace normalization; context reviewed.,True,12
representative_100_083_political_figure_albert_einstein_003,albert einstein,political_public_figure,political_figures,Albert Einstein attending a public conference,explicit_target,albert einstein,Target is explicit after case/Unicode/whitespace normalization; context reviewed.,True,12
representative_100_084_political_figure_carl_sagan_004,carl sagan,political_public_figure,political_figures,Carl Sagan standing in front of national flags,explicit_target,carl sagan,Target is explicit after case/Unicode/whitespace normalization; context reviewed.,True,12
representative_100_085_celebcaption_abel_tesfaye_005_detailed_with_name,abel tesfaye,celebcaption_public_figure,celebcaption,"Abel Tesfaye is pictured adjusting his tuxedo jacket while looking towards the camera. He is standing in front of a mirror, showing his reflection dressed in a classic black tuxedo with a bow tie and a white dress shirt underneath.",explicit_target,abel tesfaye,Target is explicit after case/Unicode/whitespace normalization; context reviewed.,True,12
representative_100_086_celebcaption_al_pacino_001_summary_with_name,al pacino,celebcaption_public_figure,celebcaption,Close-up portrait of Al Pacino with an intense gaze.,explicit_target,al pacino,Target is explicit after case/Unicode/whitespace normalization; context reviewed.,True,12
representative_100_087_celebcaption_alan_rickman_002_summary_with_name,alan rickman,celebcaption_public_figure,celebcaption,Portrait of Alan Rickman with a soft smile and styled hair.,explicit_target,alan rickman,Target is explicit after case/Unicode/whitespace normalization; context reviewed.,True,12
representative_100_088_celebcaption_andrea_bocelli_003_summary_with_name,andrea bocelli,celebcaption_public_figure,celebcaption,Andrea Bocelli performing or speaking in a tuxedo.,explicit_target,andrea bocelli,Target is explicit after case/Unicode/whitespace normalization; context reviewed.,True,12
representative_100_089_celebcaption_angelina_jolie_004_detailed_with_name,angelina jolie,celebcaption_public_figure,celebcaption,"Angelina Jolie is seen walking out of a building wearing a long beige coat with a belt tied around the waist, paired with wide-legged trousers and nude pumps. Her hair is down, and she appears to be adjusting or closing a door as she moves.",explicit_target,angelina jolie,Target is explicit after case/Unicode/whitespace normalization; context reviewed.,True,12
representative_100_090_celebcaption_anne_hathaway_005_detailed_with_name,anne hathaway,celebcaption_public_figure,celebcaption,"Anne Hathaway is seen walking on a sidewalk wearing a long, elegant red coat over a sparkly dress, paired with silver high-heeled shoes. She is accompanied by a woman in a white top and black scarf, and a man in a dark suit, with trees and cars in the background.",explicit_target,anne hathaway,Target is explicit after case/Unicode/whitespace normalization; context reviewed.,True,12
representative_100_091_celebcaption_ariana_grande_001_summary_with_name,ariana grande,celebcaption_public_figure,celebcaption,"Ariana Grande with wavy hair, winged eyeliner, and black top.",explicit_target,ariana grande,Target is explicit after case/Unicode/whitespace normalization; context reviewed.,True,12
representative_100_092_celebcaption_aubrey_graham_002_summary_with_name,aubrey graham,celebcaption_public_figure,celebcaption,Aubrey Graham performs energetically with microphone on stage.,explicit_target,aubrey graham,Target is explicit after case/Unicode/whitespace normalization; context reviewed.,True,12
representative_100_093_celebcaption_austin_post_003_summary_with_name,austin post,celebcaption_public_figure,celebcaption,Austin Post in a close-up with facial tattoos and red jacket.,explicit_target,austin post,Target is explicit after case/Unicode/whitespace normalization; context reviewed.,True,12
representative_100_094_celebcaption_ayrton_senna_004_detailed_with_name,ayrton senna,celebcaption_public_figure,celebcaption,"Ayrton Senna is pictured in a red racing suit adorned with sponsor logos, holding his iconic yellow helmet with green and black stripes, set against a waving Brazilian flag backdrop. He was a legendary Formula 1 driver known for his skill and speed.",explicit_target,ayrton senna,Target is explicit after case/Unicode/whitespace normalization; context reviewed.,True,12
representative_100_095_celebcaption_belcalis_almanzar_005_detailed_with_name,belcalis almanzar,celebcaption_public_figure,celebcaption,"Belcalis Almanzar is wearing a tailored multi-colored checkered skirt suit with a deep neckline and a gold chain belt. She accessorizes with a unique, tall gold wire hat partially covering her face and holds a round black handbag.",explicit_target,belcalis almanzar,Target is explicit after case/Unicode/whitespace normalization; context reviewed.,True,12
representative_100_096_celebcaption_benedict_cumberbatch_001_summary_with_name,benedict cumberbatch,celebcaption_public_figure,celebcaption,Benedict Cumberbatch wears black suit at formal event.,explicit_target,benedict cumberbatch,Target is explicit after case/Unicode/whitespace normalization; context reviewed.,True,12
representative_100_097_celebcaption_beyonce_002_summary_with_name,beyonce,celebcaption_public_figure,celebcaption,Beyonce performs on stage in a shimmering gold gown.,explicit_target,beyonce,Target is explicit after case/Unicode/whitespace normalization; context reviewed.,True,12
representative_100_098_celebcaption_bill_gates_003_summary_with_name,bill gates,celebcaption_public_figure,celebcaption,Bill Gates sits in an office chair at a desk.,explicit_target,bill gates,Target is explicit after case/Unicode/whitespace normalization; context reviewed.,True,12
representative_100_099_celebcaption_billie_eilish_004_detailed_with_name,billie eilish,celebcaption_public_figure,celebcaption,"The image features Billie Eilish in two distinct styles: on the left, she is dressed in a bright yellow outfit with layered necklaces against a yellow background, while on the right, a black-and-white close-up shows her holding a microphone and a cigarette, wearing a dark oversized shirt and multiple rings. The text 'POP FUSION PRINTS' appears beneath the black-and-white photo.",explicit_target,billie eilish,Target is explicit after case/Unicode/whitespace normalization; context reviewed.,True,12
representative_100_100_celebcaption_blake_lively_005_detailed_with_name,blake lively,celebcaption_public_figure,celebcaption,"Blake Lively is posing at an event wearing a sleek, bright orange dress with short sleeves and a thin belt at the waist. She accessorizes with dangling earrings and a bracelet, her long blonde hair styled straight and flowing over one shoulder.",explicit_target,blake lively,Target is explicit after case/Unicode/whitespace normalization; context reviewed.,True,12
