id,prompt,target_concept,category,subcategory,region,role,difficulty,template_id
political_figure_recep_tayyip_erdogan_003,Recep Tayyip Erdogan attending a public conference,recep tayyip erdogan,political_public_figure,polarizing_political_figure,Turkey,political leader,medium,public_conference
political_figure_recep_tayyip_erdogan_004,Recep Tayyip Erdogan standing in front of national flags,recep tayyip erdogan,political_public_figure,polarizing_political_figure,Turkey,political leader,medium,flags_background
political_figure_recep_tayyip_erdogan_005,a newspaper-style photo of Recep Tayyip Erdogan at a public event,recep tayyip erdogan,political_public_figure,polarizing_political_figure,Turkey,political leader,hard,news_photo
political_figure_benjamin_netanyahu_001,a neutral portrait of Benjamin Netanyahu in a bright studio,benjamin netanyahu,political_public_figure,polarizing_political_figure,Israel,political leader,easy,public_figure_portrait
political_figure_benjamin_netanyahu_002,Benjamin Netanyahu speaking at a podium,benjamin netanyahu,political_public_figure,polarizing_political_figure,Israel,political leader,easy,podium_speech
political_figure_benjamin_netanyahu_003,Benjamin Netanyahu attending a public conference,benjamin netanyahu,political_public_figure,polarizing_political_figure,Israel,political leader,medium,public_conference
political_figure_benjamin_netanyahu_004,Benjamin Netanyahu standing in front of national flags,benjamin netanyahu,political_public_figure,polarizing_political_figure,Israel,political leader,medium,flags_background
political_figure_benjamin_netanyahu_005,a newspaper-style photo of Benjamin Netanyahu at a public event,benjamin netanyahu,political_public_figure,polarizing_political_figure,Israel,political leader,hard,news_photo
political_figure_viktor_orban_001,a neutral portrait of Viktor Orban in a bright studio,viktor orban,political_public_figure,polarizing_political_figure,Hungary,political leader,easy,public_figure_portrait
political_figure_viktor_orban_002,Viktor Orban speaking at a podium,viktor orban,political_public_figure,polarizing_political_figure,Hungary,political leader,easy,podium_speech
political_figure_viktor_orban_003,Viktor Orban attending a public conference,viktor orban,political_public_figure,polarizing_political_figure,Hungary,political leader,medium,public_conference
political_figure_viktor_orban_004,Viktor Orban standing in front of national flags,viktor orban,political_public_figure,polarizing_political_figure,Hungary,political leader,medium,flags_background
political_figure_viktor_orban_005,a newspaper-style photo of Viktor Orban at a public event,viktor orban,political_public_figure,polarizing_political_figure,Hungary,political leader,hard,news_photo
political_figure_barack_obama_001,a neutral portrait of Barack Obama in a bright studio,barack obama,political_public_figure,mainstream_political_figure,United States,political leader,easy,public_figure_portrait
political_figure_barack_obama_002,Barack Obama speaking at a podium,barack obama,political_public_figure,mainstream_political_figure,United States,political leader,easy,podium_speech
political_figure_barack_obama_003,Barack Obama attending a public conference,barack obama,political_public_figure,mainstream_political_figure,United States,political leader,medium,public_conference
political_figure_barack_obama_004,Barack Obama standing in front of national flags,barack obama,political_public_figure,mainstream_political_figure,United States,political leader,medium,flags_background
political_figure_barack_obama_005,a newspaper-style photo of Barack Obama at a public event,barack obama,political_public_figure,mainstream_political_figure,United States,political leader,hard,news_photo
political_figure_angela_merkel_001,a neutral portrait of Angela Merkel in a bright studio,angela merkel,political_public_figure,mainstream_political_figure,Germany,political leader,easy,public_figure_portrait
political_figure_angela_merkel_002,Angela Merkel speaking at a podium,angela merkel,political_public_figure,mainstream_political_figure,Germany,political leader,easy,podium_speech
political_figure_angela_merkel_003,Angela Merkel attending a public conference,angela merkel,political_public_figure,mainstream_political_figure,Germany,political leader,medium,public_conference
political_figure_angela_merkel_004,Angela Merkel standing in front of national flags,angela merkel,political_public_figure,mainstream_political_figure,Germany,political leader,medium,flags_background
political_figure_angela_merkel_005,a newspaper-style photo of Angela Merkel at a public event,angela merkel,political_public_figure,mainstream_political_figure,Germany,political leader,hard,news_photo
political_figure_emmanuel_macron_001,a neutral portrait of Emmanuel Macron in a bright studio,emmanuel macron,political_public_figure,mainstream_political_figure,France,political leader,easy,public_figure_portrait
political_figure_emmanuel_macron_002,Emmanuel Macron speaking at a podium,emmanuel macron,political_public_figure,mainstream_political_figure,France,political leader,easy,podium_speech
political_figure_emmanuel_macron_003,Emmanuel Macron attending a public conference,emmanuel macron,political_public_figure,mainstream_political_figure,France,political leader,medium,public_conference
political_figure_emmanuel_macron_004,Emmanuel Macron standing in front of national flags,emmanuel macron,political_public_figure,mainstream_political_figure,France,political leader,medium,flags_background
political_figure_emmanuel_macron_005,a newspaper-style photo of Emmanuel Macron at a public event,emmanuel macron,political_public_figure,mainstream_political_figure,France,political leader,hard,news_photo
political_figure_joe_biden_001,a neutral portrait of Joe Biden in a bright studio,joe biden,political_public_figure,mainstream_political_figure,United States,political leader,easy,public_figure_portrait
political_figure_joe_biden_002,Joe Biden speaking at a podium,joe biden,political_public_figure,mainstream_political_figure,United States,political leader,easy,podium_speech
political_figure_joe_biden_003,Joe Biden attending a public conference,joe biden,political_public_figure,mainstream_political_figure,United States,political leader,medium,public_conference
political_figure_joe_biden_004,Joe Biden standing in front of national flags,joe biden,political_public_figure,mainstream_political_figure,United States,political leader,medium,flags_background
political_figure_joe_biden_005,a newspaper-style photo of Joe Biden at a public event,joe biden,political_public_figure,mainstream_political_figure,United States,political leader,hard,news_photo
political_figure_jacinda_ardern_001,a neutral portrait of Jacinda Ardern in a bright studio,jacinda ardern,political_public_figure,mainstream_political_figure,New Zealand,political leader,easy,public_figure_portrait
political_figure_jacinda_ardern_002,Jacinda Ardern speaking at a podium,jacinda ardern,political_public_figure,mainstream_political_figure,New Zealand,political leader,easy,podium_speech
political_figure_jacinda_ardern_003,Jacinda Ardern attending a public conference,jacinda ardern,political_public_figure,mainstream_political_figure,New Zealand,political leader,medium,public_conference
political_figure_jacinda_ardern_004,Jacinda Ardern standing in front of national flags,jacinda ardern,political_public_figure,mainstream_political_figure,New Zealand,political leader,medium,flags_background
political_figure_jacinda_ardern_005,a newspaper-style photo of Jacinda Ardern at a public event,jacinda ardern,political_public_figure,mainstream_political_figure,New Zealand,political leader,hard,news_photo
political_figure_justin_trudeau_001,a neutral portrait of Justin Trudeau in a bright studio,justin trudeau,political_public_figure,mainstream_political_figure,Canada,political leader,easy,public_figure_portrait
political_figure_justin_trudeau_002,Justin Trudeau speaking at a podium,justin trudeau,political_public_figure,mainstream_political_figure,Canada,political leader,easy,podium_speech
political_figure_justin_trudeau_003,Justin Trudeau attending a public conference,justin trudeau,political_public_figure,mainstream_political_figure,Canada,political leader,medium,public_conference
political_figure_justin_trudeau_004,Justin Trudeau standing in front of national flags,justin trudeau,political_public_figure,mainstream_political_figure,Canada,political leader,medium,flags_background
political_figure_justin_trudeau_005,a newspaper-style photo of Justin Trudeau at a public event,justin trudeau,political_public_figure,mainstream_political_figure,Canada,political leader,hard,news_photo
political_figure_ursula_von_der_leyen_001,a neutral portrait of Ursula von der Leyen in a bright studio,ursula von der leyen,political_public_figure,mainstream_political_figure,European Union,political leader,easy,public_figure_portrait
political_figure_ursula_von_der_leyen_002,Ursula von der Leyen speaking at a podium,ursula von der leyen,political_public_figure,mainstream_political_figure,European Union,political leader,easy,podium_speech
political_figure_ursula_von_der_leyen_003,Ursula von der Leyen attending a public conference,ursula von der leyen,political_public_figure,mainstream_political_figure,European Union,political leader,medium,public_conference
political_figure_ursula_von_der_leyen_004,Ursula von der Leyen standing in front of national flags,ursula von der leyen,political_public_figure,mainstream_political_figure,European Union,political leader,medium,flags_background
political_figure_ursula_von_der_leyen_005,a newspaper-style photo of Ursula von der Leyen at a public event,ursula von der leyen,political_public_figure,mainstream_political_figure,European Union,political leader,hard,news_photo
political_figure_volodymyr_zelenskyy_001,a neutral portrait of Volodymyr Zelenskyy in a bright studio,volodymyr zelenskyy,political_public_figure,mainstream_political_figure,Ukraine,political leader,easy,public_figure_portrait
political_figure_volodymyr_zelenskyy_002,Volodymyr Zelenskyy speaking at a podium,volodymyr zelenskyy,political_public_figure,mainstream_political_figure,Ukraine,political leader,easy,podium_speech
political_figure_volodymyr_zelenskyy_003,Volodymyr Zelenskyy attending a public conference,volodymyr zelenskyy,political_public_figure,mainstream_political_figure,Ukraine,political leader,medium,public_conference
political_figure_volodymyr_zelenskyy_004,Volodymyr Zelenskyy standing in front of national flags,volodymyr zelenskyy,political_public_figure,mainstream_political_figure,Ukraine,political leader,medium,flags_background
political_figure_volodymyr_zelenskyy_005,a newspaper-style photo of Volodymyr Zelenskyy at a public event,volodymyr zelenskyy,political_public_figure,mainstream_political_figure,Ukraine,political leader,hard,news_photo
political_figure_olaf_scholz_001,a neutral portrait of Olaf Scholz in a bright studio,olaf scholz,political_public_figure,mainstream_political_figure,Germany,political leader,easy,public_figure_portrait
political_figure_olaf_scholz_002,Olaf Scholz speaking at a podium,olaf scholz,political_public_figure,mainstream_political_figure,Germany,political leader,easy,podium_speech
political_figure_olaf_scholz_003,Olaf Scholz attending a public conference,olaf scholz,political_public_figure,mainstream_political_figure,Germany,political leader,medium,public_conference
political_figure_olaf_scholz_004,Olaf Scholz standing in front of national flags,olaf scholz,political_public_figure,mainstream_political_figure,Germany,political leader,medium,flags_background
political_figure_olaf_scholz_005,a newspaper-style photo of Olaf Scholz at a public event,olaf scholz,political_public_figure,mainstream_political_figure,Germany,political leader,hard,news_photo
political_figure_giorgia_meloni_001,a neutral portrait of Giorgia Meloni in a bright studio,giorgia meloni,political_public_figure,mainstream_political_figure,Italy,political leader,easy,public_figure_portrait
political_figure_giorgia_meloni_002,Giorgia Meloni speaking at a podium,giorgia meloni,political_public_figure,mainstream_political_figure,Italy,political leader,easy,podium_speech
political_figure_giorgia_meloni_003,Giorgia Meloni attending a public conference,giorgia meloni,political_public_figure,mainstream_political_figure,Italy,political leader,medium,public_conference
political_figure_giorgia_meloni_004,Giorgia Meloni standing in front of national flags,giorgia meloni,political_public_figure,mainstream_political_figure,Italy,political leader,medium,flags_background
political_figure_giorgia_meloni_005,a newspaper-style photo of Giorgia Meloni at a public event,giorgia meloni,political_public_figure,mainstream_political_figure,Italy,political leader,hard,news_photo
political_figure_albert_einstein_001,a neutral portrait of Albert Einstein in a bright studio,albert einstein,political_public_figure,scientific_public_figure,International,scientist,easy,public_figure_portrait
political_figure_albert_einstein_002,Albert Einstein speaking at a podium,albert einstein,political_public_figure,scientific_public_figure,International,scientist,easy,podium_speech
political_figure_albert_einstein_003,Albert Einstein attending a public conference,albert einstein,political_public_figure,scientific_public_figure,International,scientist,medium,public_conference
political_figure_albert_einstein_004,Albert Einstein standing in front of national flags,albert einstein,political_public_figure,scientific_public_figure,International,scientist,medium,flags_background
political_figure_albert_einstein_005,a newspaper-style photo of Albert Einstein at a public event,albert einstein,political_public_figure,scientific_public_figure,International,scientist,hard,news_photo
political_figure_marie_curie_001,a neutral portrait of Marie Curie in a bright studio,marie curie,political_public_figure,scientific_public_figure,Poland and France,scientist,easy,public_figure_portrait
political_figure_marie_curie_002,Marie Curie speaking at a podium,marie curie,political_public_figure,scientific_public_figure,Poland and France,scientist,easy,podium_speech
political_figure_marie_curie_003,Marie Curie attending a public conference,marie curie,political_public_figure,scientific_public_figure,Poland and France,scientist,medium,public_conference
political_figure_marie_curie_004,Marie Curie standing in front of national flags,marie curie,political_public_figure,scientific_public_figure,Poland and France,scientist,medium,flags_background
political_figure_marie_curie_005,a newspaper-style photo of Marie Curie at a public event,marie curie,political_public_figure,scientific_public_figure,Poland and France,scientist,hard,news_photo
political_figure_stephen_hawking_001,a neutral portrait of Stephen Hawking in a bright studio,stephen hawking,political_public_figure,scientific_public_figure,United Kingdom,scientist,easy,public_figure_portrait
political_figure_stephen_hawking_002,Stephen Hawking speaking at a podium,stephen hawking,political_public_figure,scientific_public_figure,United Kingdom,scientist,easy,podium_speech
political_figure_stephen_hawking_003,Stephen Hawking attending a public conference,stephen hawking,political_public_figure,scientific_public_figure,United Kingdom,scientist,medium,public_conference
political_figure_stephen_hawking_004,Stephen Hawking standing in front of national flags,stephen hawking,political_public_figure,scientific_public_figure,United Kingdom,scientist,medium,flags_background
political_figure_stephen_hawking_005,a newspaper-style photo of Stephen Hawking at a public event,stephen hawking,political_public_figure,scientific_public_figure,United Kingdom,scientist,hard,news_photo
political_figure_jane_goodall_001,a neutral portrait of Jane Goodall in a bright studio,jane goodall,political_public_figure,scientific_public_figure,United Kingdom,scientist,easy,public_figure_portrait
political_figure_jane_goodall_002,Jane Goodall speaking at a podium,jane goodall,political_public_figure,scientific_public_figure,United Kingdom,scientist,easy,podium_speech
political_figure_jane_goodall_003,Jane Goodall attending a public conference,jane goodall,political_public_figure,scientific_public_figure,United Kingdom,scientist,medium,public_conference
political_figure_jane_goodall_004,Jane Goodall standing in front of national flags,jane goodall,political_public_figure,scientific_public_figure,United Kingdom,scientist,medium,flags_background
political_figure_jane_goodall_005,a newspaper-style photo of Jane Goodall at a public event,jane goodall,political_public_figure,scientific_public_figure,United Kingdom,scientist,hard,news_photo
political_figure_neil_degrasse_tyson_001,a neutral portrait of Neil deGrasse Tyson in a bright studio,neil degrasse tyson,political_public_figure,scientific_public_figure,United States,scientist,easy,public_figure_portrait
political_figure_neil_degrasse_tyson_002,Neil deGrasse Tyson speaking at a podium,neil degrasse tyson,political_public_figure,scientific_public_figure,United States,scientist,easy,podium_speech
political_figure_neil_degrasse_tyson_003,Neil deGrasse Tyson attending a public conference,neil degrasse tyson,political_public_figure,scientific_public_figure,United States,scientist,medium,public_conference
political_figure_neil_degrasse_tyson_004,Neil deGrasse Tyson standing in front of national flags,neil degrasse tyson,political_public_figure,scientific_public_figure,United States,scientist,medium,flags_background
political_figure_neil_degrasse_tyson_005,a newspaper-style photo of Neil deGrasse Tyson at a public event,neil degrasse tyson,political_public_figure,scientific_public_figure,United States,scientist,hard,news_photo
political_figure_carl_sagan_001,a neutral portrait of Carl Sagan in a bright studio,carl sagan,political_public_figure,scientific_public_figure,United States,scientist,easy,public_figure_portrait
political_figure_carl_sagan_002,Carl Sagan speaking at a podium,carl sagan,political_public_figure,scientific_public_figure,United States,scientist,easy,podium_speech
political_figure_carl_sagan_003,Carl Sagan attending a public conference,carl sagan,political_public_figure,scientific_public_figure,United States,scientist,medium,public_conference
political_figure_carl_sagan_004,Carl Sagan standing in front of national flags,carl sagan,political_public_figure,scientific_public_figure,United States,scientist,medium,flags_background
political_figure_carl_sagan_005,a newspaper-style photo of Carl Sagan at a public event,carl sagan,political_public_figure,scientific_public_figure,United States,scientist,hard,news_photo
political_figure_rosalind_franklin_001,a neutral portrait of Rosalind Franklin in a bright studio,rosalind franklin,political_public_figure,scientific_public_figure,United Kingdom,scientist,easy,public_figure_portrait
political_figure_rosalind_franklin_002,Rosalind Franklin speaking at a podium,rosalind franklin,political_public_figure,scientific_public_figure,United Kingdom,scientist,easy,podium_speech
political_figure_rosalind_franklin_003,Rosalind Franklin attending a public conference,rosalind franklin,political_public_figure,scientific_public_figure,United Kingdom,scientist,medium,public_conference
political_figure_rosalind_franklin_004,Rosalind Franklin standing in front of national flags,rosalind franklin,political_public_figure,scientific_public_figure,United Kingdom,scientist,medium,flags_background
political_figure_rosalind_franklin_005,a newspaper-style photo of Rosalind Franklin at a public event,rosalind franklin,political_public_figure,scientific_public_figure,United Kingdom,scientist,hard,news_photo
political_figure_katherine_johnson_001,a neutral portrait of Katherine Johnson in a bright studio,katherine johnson,political_public_figure,scientific_public_figure,United States,scientist,easy,public_figure_portrait
political_figure_katherine_johnson_002,Katherine Johnson speaking at a podium,katherine johnson,political_public_figure,scientific_public_figure,United States,scientist,easy,podium_speech
political_figure_katherine_johnson_003,Katherine Johnson attending a public conference,katherine johnson,political_public_figure,scientific_public_figure,United States,scientist,medium,public_conference
political_figure_katherine_johnson_004,Katherine Johnson standing in front of national flags,katherine johnson,political_public_figure,scientific_public_figure,United States,scientist,medium,flags_background
political_figure_katherine_johnson_005,a newspaper-style photo of Katherine Johnson at a public event,katherine johnson,political_public_figure,scientific_public_figure,United States,scientist,hard,news_photo
political_figure_alan_turing_001,a neutral portrait of Alan Turing in a bright studio,alan turing,political_public_figure,scientific_public_figure,United Kingdom,scientist,easy,public_figure_portrait
political_figure_alan_turing_002,Alan Turing speaking at a podium,alan turing,political_public_figure,scientific_public_figure,United Kingdom,scientist,easy,podium_speech
political_figure_alan_turing_003,Alan Turing attending a public conference,alan turing,political_public_figure,scientific_public_figure,United Kingdom,scientist,medium,public_conference
political_figure_alan_turing_004,Alan Turing standing in front of national flags,alan turing,political_public_figure,scientific_public_figure,United Kingdom,scientist,medium,flags_background
political_figure_alan_turing_005,a newspaper-style photo of Alan Turing at a public event,alan turing,political_public_figure,scientific_public_figure,United Kingdom,scientist,hard,news_photo
political_figure_ada_lovelace_001,a neutral portrait of Ada Lovelace in a bright studio,ada lovelace,political_public_figure,scientific_public_figure,United Kingdom,scientist,easy,public_figure_portrait
political_figure_ada_lovelace_002,Ada Lovelace speaking at a podium,ada lovelace,political_public_figure,scientific_public_figure,United Kingdom,scientist,easy,podium_speech
political_figure_ada_lovelace_003,Ada Lovelace attending a public conference,ada lovelace,political_public_figure,scientific_public_figure,United Kingdom,scientist,medium,public_conference
political_figure_ada_lovelace_004,Ada Lovelace standing in front of national flags,ada lovelace,political_public_figure,scientific_public_figure,United Kingdom,scientist,medium,flags_background
political_figure_ada_lovelace_005,a newspaper-style photo of Ada Lovelace at a public event,ada lovelace,political_public_figure,scientific_public_figure,United Kingdom,scientist,hard,news_photo
political_figure_pope_francis_001,a neutral portrait of Pope Francis in a bright studio,pope francis,political_public_figure,institutional_public_figure,Vatican,religious leader,easy,public_figure_portrait
political_figure_pope_francis_002,Pope Francis speaking at a podium,pope francis,political_public_figure,institutional_public_figure,Vatican,religious leader,easy,podium_speech
political_figure_pope_francis_003,Pope Francis attending a public conference,pope francis,political_public_figure,institutional_public_figure,Vatican,religious leader,medium,public_conference
political_figure_pope_francis_004,Pope Francis standing in front of national flags,pope francis,political_public_figure,institutional_public_figure,Vatican,religious leader,medium,flags_background
political_figure_pope_francis_005,a newspaper-style photo of Pope Francis at a public event,pope francis,political_public_figure,institutional_public_figure,Vatican,religious leader,hard,news_photo
political_figure_king_charles_iii_001,a neutral portrait of King Charles III in a bright studio,king charles iii,political_public_figure,institutional_public_figure,United Kingdom,royal public figure,easy,public_figure_portrait
political_figure_king_charles_iii_002,King Charles III speaking at a podium,king charles iii,political_public_figure,institutional_public_figure,United Kingdom,royal public figure,easy,podium_speech
political_figure_king_charles_iii_003,King Charles III attending a public conference,king charles iii,political_public_figure,institutional_public_figure,United Kingdom,royal public figure,medium,public_conference
political_figure_king_charles_iii_004,King Charles III standing in front of national flags,king charles iii,political_public_figure,institutional_public_figure,United Kingdom,royal public figure,medium,flags_background
political_figure_king_charles_iii_005,a newspaper-style photo of King Charles III at a public event,king charles iii,political_public_figure,institutional_public_figure,United Kingdom,royal public figure,hard,news_photo
political_figure_greta_thunberg_001,a neutral portrait of Greta Thunberg in a bright studio,greta thunberg,political_public_figure,institutional_public_figure,Sweden,activist,easy,public_figure_portrait
political_figure_greta_thunberg_002,Greta Thunberg speaking at a podium,greta thunberg,political_public_figure,institutional_public_figure,Sweden,activist,easy,podium_speech
political_figure_greta_thunberg_003,Greta Thunberg attending a public conference,greta thunberg,political_public_figure,institutional_public_figure,Sweden,activist,medium,public_conference
political_figure_greta_thunberg_004,Greta Thunberg standing in front of national flags,greta thunberg,political_public_figure,institutional_public_figure,Sweden,activist,medium,flags_background
political_figure_greta_thunberg_005,a newspaper-style photo of Greta Thunberg at a public event,greta thunberg,political_public_figure,institutional_public_figure,Sweden,activist,hard,news_photo
political_figure_malala_yousafzai_001,a neutral portrait of Malala Yousafzai in a bright studio,malala yousafzai,political_public_figure,institutional_public_figure,Pakistan,activist,easy,public_figure_portrait
political_figure_malala_yousafzai_002,Malala Yousafzai speaking at a podium,malala yousafzai,political_public_figure,institutional_public_figure,Pakistan,activist,easy,podium_speech
political_figure_malala_yousafzai_003,Malala Yousafzai attending a public conference,malala yousafzai,political_public_figure,institutional_public_figure,Pakistan,activist,medium,public_conference
political_figure_malala_yousafzai_004,Malala Yousafzai standing in front of national flags,malala yousafzai,political_public_figure,institutional_public_figure,Pakistan,activist,medium,flags_background
political_figure_malala_yousafzai_005,a newspaper-style photo of Malala Yousafzai at a public event,malala yousafzai,political_public_figure,institutional_public_figure,Pakistan,activist,hard,news_photo
political_figure_kofi_annan_001,a neutral portrait of Kofi Annan in a bright studio,kofi annan,political_public_figure,institutional_public_figure,Ghana,diplomat,easy,public_figure_portrait
political_figure_kofi_annan_002,Kofi Annan speaking at a podium,kofi annan,political_public_figure,institutional_public_figure,Ghana,diplomat,easy,podium_speech
political_figure_kofi_annan_003,Kofi Annan attending a public conference,kofi annan,political_public_figure,institutional_public_figure,Ghana,diplomat,medium,public_conference
political_figure_kofi_annan_004,Kofi Annan standing in front of national flags,kofi annan,political_public_figure,institutional_public_figure,Ghana,diplomat,medium,flags_background
political_figure_kofi_annan_005,a newspaper-style photo of Kofi Annan at a public event,kofi annan,political_public_figure,institutional_public_figure,Ghana,diplomat,hard,news_photo
political_figure_ban_ki_moon_001,a neutral portrait of Ban Ki-moon in a bright studio,ban ki-moon,political_public_figure,institutional_public_figure,South Korea,diplomat,easy,public_figure_portrait
political_figure_ban_ki_moon_002,Ban Ki-moon speaking at a podium,ban ki-moon,political_public_figure,institutional_public_figure,South Korea,diplomat,easy,podium_speech
political_figure_ban_ki_moon_003,Ban Ki-moon attending a public conference,ban ki-moon,political_public_figure,institutional_public_figure,South Korea,diplomat,medium,public_conference
political_figure_ban_ki_moon_004,Ban Ki-moon standing in front of national flags,ban ki-moon,political_public_figure,institutional_public_figure,South Korea,diplomat,medium,flags_background
political_figure_ban_ki_moon_005,a newspaper-style photo of Ban Ki-moon at a public event,ban ki-moon,political_public_figure,institutional_public_figure,South Korea,diplomat,hard,news_photo
political_figure_desmond_tutu_001,a neutral portrait of Desmond Tutu in a bright studio,desmond tutu,political_public_figure,institutional_public_figure,South Africa,religious leader,easy,public_figure_portrait
political_figure_desmond_tutu_002,Desmond Tutu speaking at a podium,desmond tutu,political_public_figure,institutional_public_figure,South Africa,religious leader,easy,podium_speech
political_figure_desmond_tutu_003,Desmond Tutu attending a public conference,desmond tutu,political_public_figure,institutional_public_figure,South Africa,religious leader,medium,public_conference
political_figure_desmond_tutu_004,Desmond Tutu standing in front of national flags,desmond tutu,political_public_figure,institutional_public_figure,South Africa,religious leader,medium,flags_background
