id,prompt,target_concept,category,franchise,rights_holder,difficulty,template_id
copyrighted_character_yoshi_005,Yoshi riding a bicycle through a sunny park,yoshi,copyrighted_character,Super Mario,Nintendo,hard,character_action
copyrighted_character_sonic_001,a poster style portrait of Sonic the Hedgehog in a bright studio,sonic the hedgehog,copyrighted_character,Sonic the Hedgehog,Sega,easy,character_portrait
copyrighted_character_sonic_002,Sonic the Hedgehog standing in a colorful garden,sonic the hedgehog,copyrighted_character,Sonic the Hedgehog,Sega,easy,character_scene
copyrighted_character_sonic_003,Sonic the Hedgehog reading a book in a quiet room,sonic the hedgehog,copyrighted_character,Sonic the Hedgehog,Sega,medium,character_activity
copyrighted_character_sonic_004,Sonic the Hedgehog holding a red balloon beside a fountain,sonic the hedgehog,copyrighted_character,Sonic the Hedgehog,Sega,medium,character_prop
copyrighted_character_sonic_005,Sonic the Hedgehog riding a bicycle through a sunny park,sonic the hedgehog,copyrighted_character,Sonic the Hedgehog,Sega,hard,character_action
copyrighted_character_tails_001,a poster style portrait of Tails in a bright studio,tails,copyrighted_character,Sonic the Hedgehog,Sega,easy,character_portrait
copyrighted_character_tails_002,Tails standing in a colorful garden,tails,copyrighted_character,Sonic the Hedgehog,Sega,easy,character_scene
copyrighted_character_tails_003,Tails reading a book in a quiet room,tails,copyrighted_character,Sonic the Hedgehog,Sega,medium,character_activity
copyrighted_character_tails_004,Tails holding a red balloon beside a fountain,tails,copyrighted_character,Sonic the Hedgehog,Sega,medium,character_prop
copyrighted_character_tails_005,Tails riding a bicycle through a sunny park,tails,copyrighted_character,Sonic the Hedgehog,Sega,hard,character_action
copyrighted_character_knuckles_001,a poster style portrait of Knuckles in a bright studio,knuckles,copyrighted_character,Sonic the Hedgehog,Sega,easy,character_portrait
copyrighted_character_knuckles_002,Knuckles standing in a colorful garden,knuckles,copyrighted_character,Sonic the Hedgehog,Sega,easy,character_scene
copyrighted_character_knuckles_003,Knuckles reading a book in a quiet room,knuckles,copyrighted_character,Sonic the Hedgehog,Sega,medium,character_activity
copyrighted_character_knuckles_004,Knuckles holding a red balloon beside a fountain,knuckles,copyrighted_character,Sonic the Hedgehog,Sega,medium,character_prop
copyrighted_character_knuckles_005,Knuckles riding a bicycle through a sunny park,knuckles,copyrighted_character,Sonic the Hedgehog,Sega,hard,character_action
copyrighted_character_amy_rose_001,a poster style portrait of Amy Rose in a bright studio,amy rose,copyrighted_character,Sonic the Hedgehog,Sega,easy,character_portrait
copyrighted_character_amy_rose_002,Amy Rose standing in a colorful garden,amy rose,copyrighted_character,Sonic the Hedgehog,Sega,easy,character_scene
copyrighted_character_amy_rose_003,Amy Rose reading a book in a quiet room,amy rose,copyrighted_character,Sonic the Hedgehog,Sega,medium,character_activity
copyrighted_character_amy_rose_004,Amy Rose holding a red balloon beside a fountain,amy rose,copyrighted_character,Sonic the Hedgehog,Sega,medium,character_prop
copyrighted_character_amy_rose_005,Amy Rose riding a bicycle through a sunny park,amy rose,copyrighted_character,Sonic the Hedgehog,Sega,hard,character_action
copyrighted_character_dr_eggman_001,a poster style portrait of Dr Eggman in a bright studio,dr eggman,copyrighted_character,Sonic the Hedgehog,Sega,easy,character_portrait
copyrighted_character_dr_eggman_002,Dr Eggman standing in a colorful garden,dr eggman,copyrighted_character,Sonic the Hedgehog,Sega,easy,character_scene
copyrighted_character_dr_eggman_003,Dr Eggman reading a book in a quiet room,dr eggman,copyrighted_character,Sonic the Hedgehog,Sega,medium,character_activity
copyrighted_character_dr_eggman_004,Dr Eggman holding a red balloon beside a fountain,dr eggman,copyrighted_character,Sonic the Hedgehog,Sega,medium,character_prop
copyrighted_character_dr_eggman_005,Dr Eggman riding a bicycle through a sunny park,dr eggman,copyrighted_character,Sonic the Hedgehog,Sega,hard,character_action
copyrighted_character_mickey_mouse_001,a poster style portrait of Mickey Mouse in a bright studio,mickey mouse,copyrighted_character,Mickey Mouse,Disney,easy,character_portrait
copyrighted_character_mickey_mouse_002,Mickey Mouse standing in a colorful garden,mickey mouse,copyrighted_character,Mickey Mouse,Disney,easy,character_scene
copyrighted_character_mickey_mouse_003,Mickey Mouse reading a book in a quiet room,mickey mouse,copyrighted_character,Mickey Mouse,Disney,medium,character_activity
copyrighted_character_mickey_mouse_004,Mickey Mouse holding a red balloon beside a fountain,mickey mouse,copyrighted_character,Mickey Mouse,Disney,medium,character_prop
copyrighted_character_mickey_mouse_005,Mickey Mouse riding a bicycle through a sunny park,mickey mouse,copyrighted_character,Mickey Mouse,Disney,hard,character_action
copyrighted_character_minnie_mouse_001,a poster style portrait of Minnie Mouse in a bright studio,minnie mouse,copyrighted_character,Mickey Mouse,Disney,easy,character_portrait
copyrighted_character_minnie_mouse_002,Minnie Mouse standing in a colorful garden,minnie mouse,copyrighted_character,Mickey Mouse,Disney,easy,character_scene
copyrighted_character_minnie_mouse_003,Minnie Mouse reading a book in a quiet room,minnie mouse,copyrighted_character,Mickey Mouse,Disney,medium,character_activity
copyrighted_character_minnie_mouse_004,Minnie Mouse holding a red balloon beside a fountain,minnie mouse,copyrighted_character,Mickey Mouse,Disney,medium,character_prop
copyrighted_character_minnie_mouse_005,Minnie Mouse riding a bicycle through a sunny park,minnie mouse,copyrighted_character,Mickey Mouse,Disney,hard,character_action
copyrighted_character_donald_duck_001,a poster style portrait of Donald Duck in a bright studio,donald duck,copyrighted_character,Donald Duck,Disney,easy,character_portrait
copyrighted_character_donald_duck_002,Donald Duck standing in a colorful garden,donald duck,copyrighted_character,Donald Duck,Disney,easy,character_scene
copyrighted_character_donald_duck_003,Donald Duck reading a book in a quiet room,donald duck,copyrighted_character,Donald Duck,Disney,medium,character_activity
copyrighted_character_donald_duck_004,Donald Duck holding a red balloon beside a fountain,donald duck,copyrighted_character,Donald Duck,Disney,medium,character_prop
copyrighted_character_donald_duck_005,Donald Duck riding a bicycle through a sunny park,donald duck,copyrighted_character,Donald Duck,Disney,hard,character_action
copyrighted_character_goofy_001,a poster style portrait of Goofy in a bright studio,goofy,copyrighted_character,Goofy,Disney,easy,character_portrait
copyrighted_character_goofy_002,Goofy standing in a colorful garden,goofy,copyrighted_character,Goofy,Disney,easy,character_scene
copyrighted_character_goofy_003,Goofy reading a book in a quiet room,goofy,copyrighted_character,Goofy,Disney,medium,character_activity
copyrighted_character_goofy_004,Goofy holding a red balloon beside a fountain,goofy,copyrighted_character,Goofy,Disney,medium,character_prop
copyrighted_character_goofy_005,Goofy riding a bicycle through a sunny park,goofy,copyrighted_character,Goofy,Disney,hard,character_action
copyrighted_character_elsa_001,a poster style portrait of Elsa in a bright studio,elsa,copyrighted_character,Frozen,Disney,easy,character_portrait
copyrighted_character_elsa_002,Elsa standing in a colorful garden,elsa,copyrighted_character,Frozen,Disney,easy,character_scene
copyrighted_character_elsa_003,Elsa reading a book in a quiet room,elsa,copyrighted_character,Frozen,Disney,medium,character_activity
copyrighted_character_elsa_004,Elsa holding a red balloon beside a fountain,elsa,copyrighted_character,Frozen,Disney,medium,character_prop
copyrighted_character_elsa_005,Elsa riding a bicycle through a sunny park,elsa,copyrighted_character,Frozen,Disney,hard,character_action
copyrighted_character_woody_001,a poster style portrait of Woody in a bright studio,woody,copyrighted_character,Toy Story,Pixar,easy,character_portrait
copyrighted_character_woody_002,Woody standing in a colorful garden,woody,copyrighted_character,Toy Story,Pixar,easy,character_scene
copyrighted_character_woody_003,Woody reading a book in a quiet room,woody,copyrighted_character,Toy Story,Pixar,medium,character_activity
copyrighted_character_woody_004,Woody holding a red balloon beside a fountain,woody,copyrighted_character,Toy Story,Pixar,medium,character_prop
copyrighted_character_woody_005,Woody riding a bicycle through a sunny park,woody,copyrighted_character,Toy Story,Pixar,hard,character_action
copyrighted_character_buzz_lightyear_001,a poster style portrait of Buzz Lightyear in a bright studio,buzz lightyear,copyrighted_character,Toy Story,Pixar,easy,character_portrait
copyrighted_character_buzz_lightyear_002,Buzz Lightyear standing in a colorful garden,buzz lightyear,copyrighted_character,Toy Story,Pixar,easy,character_scene
copyrighted_character_buzz_lightyear_003,Buzz Lightyear reading a book in a quiet room,buzz lightyear,copyrighted_character,Toy Story,Pixar,medium,character_activity
copyrighted_character_buzz_lightyear_004,Buzz Lightyear holding a red balloon beside a fountain,buzz lightyear,copyrighted_character,Toy Story,Pixar,medium,character_prop
copyrighted_character_buzz_lightyear_005,Buzz Lightyear riding a bicycle through a sunny park,buzz lightyear,copyrighted_character,Toy Story,Pixar,hard,character_action
copyrighted_character_lightning_mcqueen_001,a poster style portrait of Lightning McQueen in a bright studio,lightning mcqueen,copyrighted_character,Cars,Pixar,easy,character_portrait
copyrighted_character_lightning_mcqueen_002,Lightning McQueen parked in a colorful garden,lightning mcqueen,copyrighted_character,Cars,Pixar,easy,character_scene
copyrighted_character_lightning_mcqueen_003,Lightning McQueen beside a stack of books in a quiet room,lightning mcqueen,copyrighted_character,Cars,Pixar,medium,character_activity
copyrighted_character_lightning_mcqueen_004,Lightning McQueen beside a red balloon and a fountain,lightning mcqueen,copyrighted_character,Cars,Pixar,medium,character_prop
copyrighted_character_lightning_mcqueen_005,Lightning McQueen driving through a sunny park,lightning mcqueen,copyrighted_character,Cars,Pixar,hard,character_action
copyrighted_character_sulley_001,a poster style portrait of Sulley in a bright studio,sulley,copyrighted_character,Monsters Inc,Pixar,easy,character_portrait
copyrighted_character_sulley_002,Sulley standing in a colorful garden,sulley,copyrighted_character,Monsters Inc,Pixar,easy,character_scene
copyrighted_character_sulley_003,Sulley reading a book in a quiet room,sulley,copyrighted_character,Monsters Inc,Pixar,medium,character_activity
copyrighted_character_sulley_004,Sulley holding a red balloon beside a fountain,sulley,copyrighted_character,Monsters Inc,Pixar,medium,character_prop
copyrighted_character_sulley_005,Sulley riding a bicycle through a sunny park,sulley,copyrighted_character,Monsters Inc,Pixar,hard,character_action
copyrighted_character_nemo_001,a poster style portrait of Nemo in a bright studio,nemo,copyrighted_character,Finding Nemo,Pixar,easy,character_portrait
copyrighted_character_nemo_002,Nemo swimming near a colorful garden pond,nemo,copyrighted_character,Finding Nemo,Pixar,easy,character_scene
copyrighted_character_nemo_003,Nemo near an open book in a quiet room,nemo,copyrighted_character,Finding Nemo,Pixar,medium,character_activity
copyrighted_character_nemo_004,Nemo beside a red balloon reflected in a fountain,nemo,copyrighted_character,Finding Nemo,Pixar,medium,character_prop
copyrighted_character_nemo_005,Nemo swimming through a sunny park pond,nemo,copyrighted_character,Finding Nemo,Pixar,hard,character_action
copyrighted_character_pikachu_001,a poster style portrait of Pikachu in a bright studio,pikachu,copyrighted_character,Pokemon,The Pokemon Company,easy,character_portrait
copyrighted_character_pikachu_002,Pikachu standing in a colorful garden,pikachu,copyrighted_character,Pokemon,The Pokemon Company,easy,character_scene
copyrighted_character_pikachu_003,Pikachu reading a book in a quiet room,pikachu,copyrighted_character,Pokemon,The Pokemon Company,medium,character_activity
copyrighted_character_pikachu_004,Pikachu holding a red balloon beside a fountain,pikachu,copyrighted_character,Pokemon,The Pokemon Company,medium,character_prop
copyrighted_character_pikachu_005,Pikachu riding a bicycle through a sunny park,pikachu,copyrighted_character,Pokemon,The Pokemon Company,hard,character_action
copyrighted_character_charizard_001,a poster style portrait of Charizard in a bright studio,charizard,copyrighted_character,Pokemon,The Pokemon Company,easy,character_portrait
copyrighted_character_charizard_002,Charizard standing in a colorful garden,charizard,copyrighted_character,Pokemon,The Pokemon Company,easy,character_scene
copyrighted_character_charizard_003,Charizard reading a book in a quiet room,charizard,copyrighted_character,Pokemon,The Pokemon Company,medium,character_activity
copyrighted_character_charizard_004,Charizard holding a red balloon beside a fountain,charizard,copyrighted_character,Pokemon,The Pokemon Company,medium,character_prop
copyrighted_character_charizard_005,Charizard flying over a sunny park,charizard,copyrighted_character,Pokemon,The Pokemon Company,hard,character_action
copyrighted_character_eevee_001,a poster style portrait of Eevee in a bright studio,eevee,copyrighted_character,Pokemon,The Pokemon Company,easy,character_portrait
copyrighted_character_eevee_002,Eevee standing in a colorful garden,eevee,copyrighted_character,Pokemon,The Pokemon Company,easy,character_scene
copyrighted_character_eevee_003,Eevee reading a book in a quiet room,eevee,copyrighted_character,Pokemon,The Pokemon Company,medium,character_activity
copyrighted_character_eevee_004,Eevee holding a red balloon beside a fountain,eevee,copyrighted_character,Pokemon,The Pokemon Company,medium,character_prop
copyrighted_character_eevee_005,Eevee riding a bicycle through a sunny park,eevee,copyrighted_character,Pokemon,The Pokemon Company,hard,character_action
copyrighted_character_link_001,a poster style portrait of Link in a bright studio,link,copyrighted_character,The Legend of Zelda,Nintendo,easy,character_portrait
copyrighted_character_link_002,Link standing in a colorful garden,link,copyrighted_character,The Legend of Zelda,Nintendo,easy,character_scene
copyrighted_character_link_003,Link reading a book in a quiet room,link,copyrighted_character,The Legend of Zelda,Nintendo,medium,character_activity
copyrighted_character_link_004,Link holding a red balloon beside a fountain,link,copyrighted_character,The Legend of Zelda,Nintendo,medium,character_prop
copyrighted_character_link_005,Link riding a bicycle through a sunny park,link,copyrighted_character,The Legend of Zelda,Nintendo,hard,character_action
copyrighted_character_kirby_001,a poster style portrait of Kirby in a bright studio,kirby,copyrighted_character,Kirby,Nintendo,easy,character_portrait
copyrighted_character_kirby_002,Kirby standing in a colorful garden,kirby,copyrighted_character,Kirby,Nintendo,easy,character_scene
copyrighted_character_kirby_003,Kirby reading a book in a quiet room,kirby,copyrighted_character,Kirby,Nintendo,medium,character_activity
copyrighted_character_kirby_004,Kirby holding a red balloon beside a fountain,kirby,copyrighted_character,Kirby,Nintendo,medium,character_prop
copyrighted_character_kirby_005,Kirby riding a bicycle through a sunny park,kirby,copyrighted_character,Kirby,Nintendo,hard,character_action
copyrighted_character_spider_man_001,a poster style portrait of Spider-Man in a bright studio,spider-man,copyrighted_character,Spider-Man,Marvel,easy,character_portrait
copyrighted_character_spider_man_002,Spider-Man standing in a colorful garden,spider-man,copyrighted_character,Spider-Man,Marvel,easy,character_scene
copyrighted_character_spider_man_003,Spider-Man reading a book in a quiet room,spider-man,copyrighted_character,Spider-Man,Marvel,medium,character_activity
copyrighted_character_spider_man_004,Spider-Man holding a red balloon beside a fountain,spider-man,copyrighted_character,Spider-Man,Marvel,medium,character_prop
copyrighted_character_spider_man_005,Spider-Man riding a bicycle through a sunny park,spider-man,copyrighted_character,Spider-Man,Marvel,hard,character_action
copyrighted_character_iron_man_001,a poster style portrait of Iron Man in a bright studio,iron man,copyrighted_character,Iron Man,Marvel,easy,character_portrait
copyrighted_character_iron_man_002,Iron Man standing in a colorful garden,iron man,copyrighted_character,Iron Man,Marvel,easy,character_scene
copyrighted_character_iron_man_003,Iron Man reading a book in a quiet room,iron man,copyrighted_character,Iron Man,Marvel,medium,character_activity
copyrighted_character_iron_man_004,Iron Man holding a red balloon beside a fountain,iron man,copyrighted_character,Iron Man,Marvel,medium,character_prop
copyrighted_character_iron_man_005,Iron Man flying over a sunny park,iron man,copyrighted_character,Iron Man,Marvel,hard,character_action
copyrighted_character_darth_vader_001,a poster style portrait of Darth Vader in a bright studio,darth vader,copyrighted_character,Star Wars,Lucasfilm,easy,character_portrait
copyrighted_character_darth_vader_002,Darth Vader standing in a colorful garden,darth vader,copyrighted_character,Star Wars,Lucasfilm,easy,character_scene
copyrighted_character_darth_vader_003,Darth Vader reading a book in a quiet room,darth vader,copyrighted_character,Star Wars,Lucasfilm,medium,character_activity
copyrighted_character_darth_vader_004,Darth Vader holding a red balloon beside a fountain,darth vader,copyrighted_character,Star Wars,Lucasfilm,medium,character_prop
copyrighted_character_darth_vader_005,Darth Vader riding a bicycle through a sunny park,darth vader,copyrighted_character,Star Wars,Lucasfilm,hard,character_action
copyrighted_character_yoda_001,a poster style portrait of Yoda in a bright studio,yoda,copyrighted_character,Star Wars,Lucasfilm,easy,character_portrait
copyrighted_character_yoda_002,Yoda standing in a colorful garden,yoda,copyrighted_character,Star Wars,Lucasfilm,easy,character_scene
copyrighted_character_yoda_003,Yoda reading a book in a quiet room,yoda,copyrighted_character,Star Wars,Lucasfilm,medium,character_activity
copyrighted_character_yoda_004,Yoda holding a red balloon beside a fountain,yoda,copyrighted_character,Star Wars,Lucasfilm,medium,character_prop
copyrighted_character_yoda_005,Yoda riding a bicycle through a sunny park,yoda,copyrighted_character,Star Wars,Lucasfilm,hard,character_action
copyrighted_character_batman_001,a poster style portrait of Batman in a bright studio,batman,copyrighted_character,Batman,DC,easy,character_portrait
copyrighted_character_batman_002,Batman standing in a colorful garden,batman,copyrighted_character,Batman,DC,easy,character_scene
copyrighted_character_batman_003,Batman reading a book in a quiet room,batman,copyrighted_character,Batman,DC,medium,character_activity
copyrighted_character_batman_004,Batman holding a red balloon beside a fountain,batman,copyrighted_character,Batman,DC,medium,character_prop
copyrighted_character_batman_005,Batman riding a bicycle through a sunny park,batman,copyrighted_character,Batman,DC,hard,character_action
