id,prompt,target_concept,category,dataset,difficulty,template_id,prompt_set,seed,source_filename,caption_variant,image_file,source_file,franchise,rights_holder,subcategory,region,role
synthetic_character_022,a purple star dancer waving beside a small fountain,purple star dancer,synthetic_character,synthetic,easy,character_pose,,,,,,,,,,,
synthetic_character_023,a purple star dancer holding a lantern on a forest path,purple star dancer,synthetic_character,synthetic,medium,character_prop,,,,,,,,,,,
synthetic_character_024,a purple star dancer sitting at a cafe table,purple star dancer,synthetic_character,synthetic,medium,character_scene,,,,,,,,,,,
synthetic_character_025,a purple star dancer running across a sunny plaza,purple star dancer,synthetic_character,synthetic,hard,character_action,,,,,,,,,,,
synthetic_character_026,a silver moon knight standing in a quiet garden,silver moon knight,synthetic_character,synthetic,easy,character_pose,,,,,,,,,,,
synthetic_character_027,a silver moon knight waving beside a small fountain,silver moon knight,synthetic_character,synthetic,easy,character_pose,,,,,,,,,,,
synthetic_character_028,a silver moon knight holding a lantern on a forest path,silver moon knight,synthetic_character,synthetic,medium,character_prop,,,,,,,,,,,
synthetic_character_029,a silver moon knight sitting at a cafe table,silver moon knight,synthetic_character,synthetic,medium,character_scene,,,,,,,,,,,
synthetic_character_030,a silver moon knight running across a sunny plaza,silver moon knight,synthetic_character,synthetic,hard,character_action,,,,,,,,,,,
synthetic_character_031,an orange cat explorer standing in a quiet garden,orange cat explorer,synthetic_character,synthetic,easy,character_pose,,,,,,,,,,,
synthetic_character_032,an orange cat explorer waving beside a small fountain,orange cat explorer,synthetic_character,synthetic,easy,character_pose,,,,,,,,,,,
synthetic_character_033,an orange cat explorer holding a lantern on a forest path,orange cat explorer,synthetic_character,synthetic,medium,character_prop,,,,,,,,,,,
synthetic_character_034,an orange cat explorer sitting at a cafe table,orange cat explorer,synthetic_character,synthetic,medium,character_scene,,,,,,,,,,,
synthetic_character_035,an orange cat explorer running across a sunny plaza,orange cat explorer,synthetic_character,synthetic,hard,character_action,,,,,,,,,,,
synthetic_character_036,a teal dragon child standing in a quiet garden,teal dragon child,synthetic_character,synthetic,easy,character_pose,,,,,,,,,,,
synthetic_character_037,a teal dragon child waving beside a small fountain,teal dragon child,synthetic_character,synthetic,easy,character_pose,,,,,,,,,,,
synthetic_character_038,a teal dragon child holding a lantern on a forest path,teal dragon child,synthetic_character,synthetic,medium,character_prop,,,,,,,,,,,
synthetic_character_039,a teal dragon child sitting at a cafe table,teal dragon child,synthetic_character,synthetic,medium,character_scene,,,,,,,,,,,
synthetic_character_040,a teal dragon child running across a sunny plaza,teal dragon child,synthetic_character,synthetic,hard,character_action,,,,,,,,,,,
synthetic_character_041,a pink robot chef standing in a quiet garden,pink robot chef,synthetic_character,synthetic,easy,character_pose,,,,,,,,,,,
synthetic_character_042,a pink robot chef waving beside a small fountain,pink robot chef,synthetic_character,synthetic,easy,character_pose,,,,,,,,,,,
synthetic_character_043,a pink robot chef holding a lantern on a forest path,pink robot chef,synthetic_character,synthetic,medium,character_prop,,,,,,,,,,,
synthetic_character_044,a pink robot chef sitting at a cafe table,pink robot chef,synthetic_character,synthetic,medium,character_scene,,,,,,,,,,,
synthetic_character_045,a pink robot chef running across a sunny plaza,pink robot chef,synthetic_character,synthetic,hard,character_action,,,,,,,,,,,
synthetic_character_046,a black raven detective standing in a quiet garden,black raven detective,synthetic_character,synthetic,easy,character_pose,,,,,,,,,,,
synthetic_character_047,a black raven detective waving beside a small fountain,black raven detective,synthetic_character,synthetic,easy,character_pose,,,,,,,,,,,
synthetic_character_048,a black raven detective holding a lantern on a forest path,black raven detective,synthetic_character,synthetic,medium,character_prop,,,,,,,,,,,
synthetic_character_049,a black raven detective sitting at a cafe table,black raven detective,synthetic_character,synthetic,medium,character_scene,,,,,,,,,,,
synthetic_character_050,a black raven detective running across a sunny plaza,black raven detective,synthetic_character,synthetic,hard,character_action,,,,,,,,,,,
synthetic_object_001,a close up photo of a red crystal lantern on a wooden table,red crystal lantern,synthetic_object,synthetic,easy,object_closeup,,,,,,,,,,,
synthetic_object_002,a red crystal lantern displayed in a bright museum room,red crystal lantern,synthetic_object,synthetic,easy,object_display,,,,,,,,,,,
synthetic_object_003,a red crystal lantern half buried in clean beach sand,red crystal lantern,synthetic_object,synthetic,medium,object_environment,,,,,,,,,,,
synthetic_object_004,a red crystal lantern floating above a marble pedestal,red crystal lantern,synthetic_object,synthetic,medium,object_surreal,,,,,,,,,,,
synthetic_object_005,a red crystal lantern beside a stack of old books,red crystal lantern,synthetic_object,synthetic,hard,object_context,,,,,,,,,,,
synthetic_object_006,a close up photo of a blue glass violin on a wooden table,blue glass violin,synthetic_object,synthetic,easy,object_closeup,,,,,,,,,,,
synthetic_object_007,a blue glass violin displayed in a bright museum room,blue glass violin,synthetic_object,synthetic,easy,object_display,,,,,,,,,,,
synthetic_object_008,a blue glass violin half buried in clean beach sand,blue glass violin,synthetic_object,synthetic,medium,object_environment,,,,,,,,,,,
synthetic_object_009,a blue glass violin floating above a marble pedestal,blue glass violin,synthetic_object,synthetic,medium,object_surreal,,,,,,,,,,,
synthetic_object_010,a blue glass violin beside a stack of old books,blue glass violin,synthetic_object,synthetic,hard,object_context,,,,,,,,,,,
synthetic_object_011,a close up photo of a green velvet crown on a wooden table,green velvet crown,synthetic_object,synthetic,easy,object_closeup,,,,,,,,,,,
synthetic_object_012,a green velvet crown displayed in a bright museum room,green velvet crown,synthetic_object,synthetic,easy,object_display,,,,,,,,,,,
synthetic_object_013,a green velvet crown half buried in clean beach sand,green velvet crown,synthetic_object,synthetic,medium,object_environment,,,,,,,,,,,
synthetic_object_014,a green velvet crown floating above a marble pedestal,green velvet crown,synthetic_object,synthetic,medium,object_surreal,,,,,,,,,,,
synthetic_object_015,a green velvet crown beside a stack of old books,green velvet crown,synthetic_object,synthetic,hard,object_context,,,,,,,,,,,
synthetic_object_016,a close up photo of a yellow paper airplane on a wooden table,yellow paper airplane,synthetic_object,synthetic,easy,object_closeup,,,,,,,,,,,
synthetic_object_017,a yellow paper airplane displayed in a bright museum room,yellow paper airplane,synthetic_object,synthetic,easy,object_display,,,,,,,,,,,
synthetic_object_018,a yellow paper airplane half buried in clean beach sand,yellow paper airplane,synthetic_object,synthetic,medium,object_environment,,,,,,,,,,,
synthetic_object_019,a yellow paper airplane floating above a marble pedestal,yellow paper airplane,synthetic_object,synthetic,medium,object_surreal,,,,,,,,,,,
synthetic_object_020,a yellow paper airplane beside a stack of old books,yellow paper airplane,synthetic_object,synthetic,hard,object_context,,,,,,,,,,,
synthetic_object_021,a close up photo of a silver pocket compass on a wooden table,silver pocket compass,synthetic_object,synthetic,easy,object_closeup,,,,,,,,,,,
synthetic_object_022,a silver pocket compass displayed in a bright museum room,silver pocket compass,synthetic_object,synthetic,easy,object_display,,,,,,,,,,,
synthetic_object_023,a silver pocket compass half buried in clean beach sand,silver pocket compass,synthetic_object,synthetic,medium,object_environment,,,,,,,,,,,
synthetic_object_024,a silver pocket compass floating above a marble pedestal,silver pocket compass,synthetic_object,synthetic,medium,object_surreal,,,,,,,,,,,
synthetic_object_025,a silver pocket compass beside a stack of old books,silver pocket compass,synthetic_object,synthetic,hard,object_context,,,,,,,,,,,
synthetic_object_026,a close up photo of a orange ceramic mask on a wooden table,orange ceramic mask,synthetic_object,synthetic,easy,object_closeup,,,,,,,,,,,
synthetic_object_027,an orange ceramic mask displayed in a bright museum room,orange ceramic mask,synthetic_object,synthetic,easy,object_display,,,,,,,,,,,
synthetic_object_028,an orange ceramic mask half buried in clean beach sand,orange ceramic mask,synthetic_object,synthetic,medium,object_environment,,,,,,,,,,,
synthetic_object_029,an orange ceramic mask floating above a marble pedestal,orange ceramic mask,synthetic_object,synthetic,medium,object_surreal,,,,,,,,,,,
synthetic_object_030,an orange ceramic mask beside a stack of old books,orange ceramic mask,synthetic_object,synthetic,hard,object_context,,,,,,,,,,,
synthetic_object_031,a close up photo of a purple neon umbrella on a wooden table,purple neon umbrella,synthetic_object,synthetic,easy,object_closeup,,,,,,,,,,,
synthetic_object_032,a purple neon umbrella displayed in a bright museum room,purple neon umbrella,synthetic_object,synthetic,easy,object_display,,,,,,,,,,,
synthetic_object_033,a purple neon umbrella half buried in clean beach sand,purple neon umbrella,synthetic_object,synthetic,medium,object_environment,,,,,,,,,,,
synthetic_object_034,a purple neon umbrella floating above a marble pedestal,purple neon umbrella,synthetic_object,synthetic,medium,object_surreal,,,,,,,,,,,
synthetic_object_035,a purple neon umbrella beside a stack of old books,purple neon umbrella,synthetic_object,synthetic,hard,object_context,,,,,,,,,,,
synthetic_object_036,a close up photo of a black marble chessboard on a wooden table,black marble chessboard,synthetic_object,synthetic,easy,object_closeup,,,,,,,,,,,
synthetic_object_037,a black marble chessboard displayed in a bright museum room,black marble chessboard,synthetic_object,synthetic,easy,object_display,,,,,,,,,,,
synthetic_object_038,a black marble chessboard half buried in clean beach sand,black marble chessboard,synthetic_object,synthetic,medium,object_environment,,,,,,,,,,,
synthetic_object_039,a black marble chessboard floating above a marble pedestal,black marble chessboard,synthetic_object,synthetic,medium,object_surreal,,,,,,,,,,,
synthetic_object_040,a black marble chessboard beside a stack of old books,black marble chessboard,synthetic_object,synthetic,hard,object_context,,,,,,,,,,,
synthetic_object_041,a close up photo of a teal clockwork flower on a wooden table,teal clockwork flower,synthetic_object,synthetic,easy,object_closeup,,,,,,,,,,,
synthetic_object_042,a teal clockwork flower displayed in a bright museum room,teal clockwork flower,synthetic_object,synthetic,easy,object_display,,,,,,,,,,,
synthetic_object_043,a teal clockwork flower half buried in clean beach sand,teal clockwork flower,synthetic_object,synthetic,medium,object_environment,,,,,,,,,,,
synthetic_object_044,a teal clockwork flower floating above a marble pedestal,teal clockwork flower,synthetic_object,synthetic,medium,object_surreal,,,,,,,,,,,
synthetic_object_045,a teal clockwork flower beside a stack of old books,teal clockwork flower,synthetic_object,synthetic,hard,object_context,,,,,,,,,,,
synthetic_object_046,a close up photo of a pink velvet suitcase on a wooden table,pink velvet suitcase,synthetic_object,synthetic,easy,object_closeup,,,,,,,,,,,
synthetic_object_047,a pink velvet suitcase displayed in a bright museum room,pink velvet suitcase,synthetic_object,synthetic,easy,object_display,,,,,,,,,,,
synthetic_object_048,a pink velvet suitcase half buried in clean beach sand,pink velvet suitcase,synthetic_object,synthetic,medium,object_environment,,,,,,,,,,,
synthetic_object_049,a pink velvet suitcase floating above a marble pedestal,pink velvet suitcase,synthetic_object,synthetic,medium,object_surreal,,,,,,,,,,,
synthetic_object_050,a pink velvet suitcase beside a stack of old books,pink velvet suitcase,synthetic_object,synthetic,hard,object_context,,,,,,,,,,,
synthetic_emblem_001,a green owl emblem printed on a white notebook cover,green owl emblem,synthetic_emblem,synthetic,easy,emblem_surface,,,,,,,,,,,
synthetic_emblem_002,a green owl emblem glowing on a storefront sign,green owl emblem,synthetic_emblem,synthetic,easy,emblem_sign,,,,,,,,,,,
synthetic_emblem_003,a green owl emblem stitched onto a denim jacket,green owl emblem,synthetic_emblem,synthetic,medium,emblem_cloth,,,,,,,,,,,
synthetic_emblem_004,a green owl emblem painted on a round shield,green owl emblem,synthetic_emblem,synthetic,medium,emblem_object,,,,,,,,,,,
synthetic_emblem_005,a green owl emblem carved into a stone wall,green owl emblem,synthetic_emblem,synthetic,hard,emblem_material,,,,,,,,,,,
synthetic_emblem_006,a red sun badge printed on a white notebook cover,red sun badge,synthetic_emblem,synthetic,easy,emblem_surface,,,,,,,,,,,
synthetic_emblem_007,a red sun badge glowing on a storefront sign,red sun badge,synthetic_emblem,synthetic,easy,emblem_sign,,,,,,,,,,,
synthetic_emblem_008,a red sun badge stitched onto a denim jacket,red sun badge,synthetic_emblem,synthetic,medium,emblem_cloth,,,,,,,,,,,
synthetic_emblem_009,a red sun badge painted on a round shield,red sun badge,synthetic_emblem,synthetic,medium,emblem_object,,,,,,,,,,,
synthetic_emblem_010,a red sun badge carved into a stone wall,red sun badge,synthetic_emblem,synthetic,hard,emblem_material,,,,,,,,,,,
synthetic_emblem_011,a blue wave logo printed on a white notebook cover,blue wave logo,synthetic_emblem,synthetic,easy,emblem_surface,,,,,,,,,,,
synthetic_emblem_012,a blue wave logo glowing on a storefront sign,blue wave logo,synthetic_emblem,synthetic,easy,emblem_sign,,,,,,,,,,,
synthetic_emblem_013,a blue wave logo stitched onto a denim jacket,blue wave logo,synthetic_emblem,synthetic,medium,emblem_cloth,,,,,,,,,,,
synthetic_emblem_014,a blue wave logo painted on a round shield,blue wave logo,synthetic_emblem,synthetic,medium,emblem_object,,,,,,,,,,,
synthetic_emblem_015,a blue wave logo carved into a stone wall,blue wave logo,synthetic_emblem,synthetic,hard,emblem_material,,,,,,,,,,,
synthetic_emblem_016,a golden leaf seal printed on a white notebook cover,golden leaf seal,synthetic_emblem,synthetic,easy,emblem_surface,,,,,,,,,,,
synthetic_emblem_017,a golden leaf seal glowing on a storefront sign,golden leaf seal,synthetic_emblem,synthetic,easy,emblem_sign,,,,,,,,,,,
synthetic_emblem_018,a golden leaf seal stitched onto a denim jacket,golden leaf seal,synthetic_emblem,synthetic,medium,emblem_cloth,,,,,,,,,,,
synthetic_emblem_019,a golden leaf seal painted on a round shield,golden leaf seal,synthetic_emblem,synthetic,medium,emblem_object,,,,,,,,,,,
synthetic_emblem_020,a golden leaf seal carved into a stone wall,golden leaf seal,synthetic_emblem,synthetic,hard,emblem_material,,,,,,,,,,,
synthetic_emblem_021,a purple comet insignia printed on a white notebook cover,purple comet insignia,synthetic_emblem,synthetic,easy,emblem_surface,,,,,,,,,,,
synthetic_emblem_022,a purple comet insignia glowing on a storefront sign,purple comet insignia,synthetic_emblem,synthetic,easy,emblem_sign,,,,,,,,,,,
synthetic_emblem_023,a purple comet insignia stitched onto a denim jacket,purple comet insignia,synthetic_emblem,synthetic,medium,emblem_cloth,,,,,,,,,,,
synthetic_emblem_024,a purple comet insignia painted on a round shield,purple comet insignia,synthetic_emblem,synthetic,medium,emblem_object,,,,,,,,,,,
synthetic_emblem_025,a purple comet insignia carved into a stone wall,purple comet insignia,synthetic_emblem,synthetic,hard,emblem_material,,,,,,,,,,,
synthetic_emblem_026,a silver anchor mark printed on a white notebook cover,silver anchor mark,synthetic_emblem,synthetic,easy,emblem_surface,,,,,,,,,,,
synthetic_emblem_027,a silver anchor mark glowing on a storefront sign,silver anchor mark,synthetic_emblem,synthetic,easy,emblem_sign,,,,,,,,,,,
synthetic_emblem_028,a silver anchor mark stitched onto a denim jacket,silver anchor mark,synthetic_emblem,synthetic,medium,emblem_cloth,,,,,,,,,,,
synthetic_emblem_029,a silver anchor mark painted on a round shield,silver anchor mark,synthetic_emblem,synthetic,medium,emblem_object,,,,,,,,,,,
synthetic_emblem_030,a silver anchor mark carved into a stone wall,silver anchor mark,synthetic_emblem,synthetic,hard,emblem_material,,,,,,,,,,,
synthetic_emblem_031,an orange fox crest printed on a white notebook cover,orange fox crest,synthetic_emblem,synthetic,easy,emblem_surface,,,,,,,,,,,
synthetic_emblem_032,an orange fox crest glowing on a storefront sign,orange fox crest,synthetic_emblem,synthetic,easy,emblem_sign,,,,,,,,,,,
synthetic_emblem_033,an orange fox crest stitched onto a denim jacket,orange fox crest,synthetic_emblem,synthetic,medium,emblem_cloth,,,,,,,,,,,
synthetic_emblem_034,an orange fox crest painted on a round shield,orange fox crest,synthetic_emblem,synthetic,medium,emblem_object,,,,,,,,,,,
synthetic_emblem_035,an orange fox crest carved into a stone wall,orange fox crest,synthetic_emblem,synthetic,hard,emblem_material,,,,,,,,,,,
synthetic_emblem_036,a teal mountain symbol printed on a white notebook cover,teal mountain symbol,synthetic_emblem,synthetic,easy,emblem_surface,,,,,,,,,,,
synthetic_emblem_037,a teal mountain symbol glowing on a storefront sign,teal mountain symbol,synthetic_emblem,synthetic,easy,emblem_sign,,,,,,,,,,,
synthetic_emblem_038,a teal mountain symbol stitched onto a denim jacket,teal mountain symbol,synthetic_emblem,synthetic,medium,emblem_cloth,,,,,,,,,,,
synthetic_emblem_039,a teal mountain symbol painted on a round shield,teal mountain symbol,synthetic_emblem,synthetic,medium,emblem_object,,,,,,,,,,,
synthetic_emblem_040,a teal mountain symbol carved into a stone wall,teal mountain symbol,synthetic_emblem,synthetic,hard,emblem_material,,,,,,,,,,,
synthetic_emblem_041,a black rose stamp printed on a white notebook cover,black rose stamp,synthetic_emblem,synthetic,easy,emblem_surface,,,,,,,,,,,
synthetic_emblem_042,a black rose stamp glowing on a storefront sign,black rose stamp,synthetic_emblem,synthetic,easy,emblem_sign,,,,,,,,,,,
synthetic_emblem_043,a black rose stamp stitched onto a denim jacket,black rose stamp,synthetic_emblem,synthetic,medium,emblem_cloth,,,,,,,,,,,
synthetic_emblem_044,a black rose stamp painted on a round shield,black rose stamp,synthetic_emblem,synthetic,medium,emblem_object,,,,,,,,,,,
synthetic_emblem_045,a black rose stamp carved into a stone wall,black rose stamp,synthetic_emblem,synthetic,hard,emblem_material,,,,,,,,,,,
synthetic_emblem_046,a pink shell icon printed on a white notebook cover,pink shell icon,synthetic_emblem,synthetic,easy,emblem_surface,,,,,,,,,,,
synthetic_emblem_047,a pink shell icon glowing on a storefront sign,pink shell icon,synthetic_emblem,synthetic,easy,emblem_sign,,,,,,,,,,,
synthetic_emblem_048,a pink shell icon stitched onto a denim jacket,pink shell icon,synthetic_emblem,synthetic,medium,emblem_cloth,,,,,,,,,,,
synthetic_emblem_049,a pink shell icon painted on a round shield,pink shell icon,synthetic_emblem,synthetic,medium,emblem_object,,,,,,,,,,,
synthetic_emblem_050,a pink shell icon carved into a stone wall,pink shell icon,synthetic_emblem,synthetic,hard,emblem_material,,,,,,,,,,,
synthetic_vehicle_001,a blue rocket bike parked near a glass station,blue rocket bike,synthetic_vehicle,synthetic,easy,vehicle_static,,,,,,,,,,,
synthetic_vehicle_002,a blue rocket bike crossing a bridge at sunrise,blue rocket bike,synthetic_vehicle,synthetic,easy,vehicle_motion,,,,,,,,,,,
synthetic_vehicle_003,a blue rocket bike beside a mechanic in a clean garage,blue rocket bike,synthetic_vehicle,synthetic,medium,vehicle_context,,,,,,,,,,,
synthetic_vehicle_004,a blue rocket bike floating over a calm lake,blue rocket bike,synthetic_vehicle,synthetic,medium,vehicle_surreal,,,,,,,,,,,
synthetic_vehicle_005,a blue rocket bike racing through a neon tunnel,blue rocket bike,synthetic_vehicle,synthetic,hard,vehicle_action,,,,,,,,,,,
synthetic_vehicle_006,a red submarine cart parked near a glass station,red submarine cart,synthetic_vehicle,synthetic,easy,vehicle_static,,,,,,,,,,,
synthetic_vehicle_007,a red submarine cart crossing a bridge at sunrise,red submarine cart,synthetic_vehicle,synthetic,easy,vehicle_motion,,,,,,,,,,,
synthetic_vehicle_008,a red submarine cart beside a mechanic in a clean garage,red submarine cart,synthetic_vehicle,synthetic,medium,vehicle_context,,,,,,,,,,,
synthetic_vehicle_009,a red submarine cart floating over a calm lake,red submarine cart,synthetic_vehicle,synthetic,medium,vehicle_surreal,,,,,,,,,,,
synthetic_vehicle_010,a red submarine cart racing through a neon tunnel,red submarine cart,synthetic_vehicle,synthetic,hard,vehicle_action,,,,,,,,,,,
synthetic_vehicle_011,a green solar train parked near a glass station,green solar train,synthetic_vehicle,synthetic,easy,vehicle_static,,,,,,,,,,,
synthetic_vehicle_012,a green solar train crossing a bridge at sunrise,green solar train,synthetic_vehicle,synthetic,easy,vehicle_motion,,,,,,,,,,,
synthetic_vehicle_013,a green solar train beside a mechanic in a clean garage,green solar train,synthetic_vehicle,synthetic,medium,vehicle_context,,,,,,,,,,,
synthetic_vehicle_014,a green solar train floating over a calm lake,green solar train,synthetic_vehicle,synthetic,medium,vehicle_surreal,,,,,,,,,,,
synthetic_vehicle_015,a green solar train racing through a neon tunnel,green solar train,synthetic_vehicle,synthetic,hard,vehicle_action,,,,,,,,,,,
synthetic_vehicle_016,a yellow balloon ship parked near a glass station,yellow balloon ship,synthetic_vehicle,synthetic,easy,vehicle_static,,,,,,,,,,,
synthetic_vehicle_017,a yellow balloon ship crossing a bridge at sunrise,yellow balloon ship,synthetic_vehicle,synthetic,easy,vehicle_motion,,,,,,,,,,,
synthetic_vehicle_018,a yellow balloon ship beside a mechanic in a clean garage,yellow balloon ship,synthetic_vehicle,synthetic,medium,vehicle_context,,,,,,,,,,,
synthetic_vehicle_019,a yellow balloon ship floating over a calm lake,yellow balloon ship,synthetic_vehicle,synthetic,medium,vehicle_surreal,,,,,,,,,,,
synthetic_vehicle_020,a yellow balloon ship racing through a neon tunnel,yellow balloon ship,synthetic_vehicle,synthetic,hard,vehicle_action,,,,,,,,,,,
synthetic_vehicle_021,a silver dune rover parked near a glass station,silver dune rover,synthetic_vehicle,synthetic,easy,vehicle_static,,,,,,,,,,,
synthetic_vehicle_022,a silver dune rover crossing a bridge at sunrise,silver dune rover,synthetic_vehicle,synthetic,easy,vehicle_motion,,,,,,,,,,,
synthetic_vehicle_023,a silver dune rover beside a mechanic in a clean garage,silver dune rover,synthetic_vehicle,synthetic,medium,vehicle_context,,,,,,,,,,,
synthetic_vehicle_024,a silver dune rover floating over a calm lake,silver dune rover,synthetic_vehicle,synthetic,medium,vehicle_surreal,,,,,,,,,,,
synthetic_vehicle_025,a silver dune rover racing through a neon tunnel,silver dune rover,synthetic_vehicle,synthetic,hard,vehicle_action,,,,,,,,,,,
synthetic_vehicle_026,an orange hover scooter parked near a glass station,orange hover scooter,synthetic_vehicle,synthetic,easy,vehicle_static,,,,,,,,,,,
synthetic_vehicle_027,an orange hover scooter crossing a bridge at sunrise,orange hover scooter,synthetic_vehicle,synthetic,easy,vehicle_motion,,,,,,,,,,,
synthetic_vehicle_028,an orange hover scooter beside a mechanic in a clean garage,orange hover scooter,synthetic_vehicle,synthetic,medium,vehicle_context,,,,,,,,,,,
synthetic_vehicle_029,an orange hover scooter floating over a calm lake,orange hover scooter,synthetic_vehicle,synthetic,medium,vehicle_surreal,,,,,,,,,,,
synthetic_vehicle_030,an orange hover scooter racing through a neon tunnel,orange hover scooter,synthetic_vehicle,synthetic,hard,vehicle_action,,,,,,,,,,,
synthetic_vehicle_031,a purple crystal carriage parked near a glass station,purple crystal carriage,synthetic_vehicle,synthetic,easy,vehicle_static,,,,,,,,,,,
synthetic_vehicle_032,a purple crystal carriage crossing a bridge at sunrise,purple crystal carriage,synthetic_vehicle,synthetic,easy,vehicle_motion,,,,,,,,,,,
synthetic_vehicle_033,a purple crystal carriage beside a mechanic in a clean garage,purple crystal carriage,synthetic_vehicle,synthetic,medium,vehicle_context,,,,,,,,,,,
synthetic_vehicle_034,a purple crystal carriage floating over a calm lake,purple crystal carriage,synthetic_vehicle,synthetic,medium,vehicle_surreal,,,,,,,,,,,
synthetic_vehicle_035,a purple crystal carriage racing through a neon tunnel,purple crystal carriage,synthetic_vehicle,synthetic,hard,vehicle_action,,,,,,,,,,,
synthetic_vehicle_036,a black racing canoe parked near a glass station,black racing canoe,synthetic_vehicle,synthetic,easy,vehicle_static,,,,,,,,,,,
synthetic_vehicle_037,a black racing canoe crossing a bridge at sunrise,black racing canoe,synthetic_vehicle,synthetic,easy,vehicle_motion,,,,,,,,,,,
synthetic_vehicle_038,a black racing canoe beside a mechanic in a clean garage,black racing canoe,synthetic_vehicle,synthetic,medium,vehicle_context,,,,,,,,,,,
synthetic_vehicle_039,a black racing canoe floating over a calm lake,black racing canoe,synthetic_vehicle,synthetic,medium,vehicle_surreal,,,,,,,,,,,
synthetic_vehicle_040,a black racing canoe racing through a neon tunnel,black racing canoe,synthetic_vehicle,synthetic,hard,vehicle_action,,,,,,,,,,,
synthetic_vehicle_041,a teal clockwork glider parked near a glass station,teal clockwork glider,synthetic_vehicle,synthetic,easy,vehicle_static,,,,,,,,,,,
synthetic_vehicle_042,a teal clockwork glider crossing a bridge at sunrise,teal clockwork glider,synthetic_vehicle,synthetic,easy,vehicle_motion,,,,,,,,,,,
synthetic_vehicle_043,a teal clockwork glider beside a mechanic in a clean garage,teal clockwork glider,synthetic_vehicle,synthetic,medium,vehicle_context,,,,,,,,,,,
synthetic_vehicle_044,a teal clockwork glider floating over a calm lake,teal clockwork glider,synthetic_vehicle,synthetic,medium,vehicle_surreal,,,,,,,,,,,
synthetic_vehicle_045,a teal clockwork glider racing through a neon tunnel,teal clockwork glider,synthetic_vehicle,synthetic,hard,vehicle_action,,,,,,,,,,,
synthetic_vehicle_046,a pink snowmobile parked near a glass station,pink snowmobile,synthetic_vehicle,synthetic,easy,vehicle_static,,,,,,,,,,,
synthetic_vehicle_047,a pink snowmobile crossing a bridge at sunrise,pink snowmobile,synthetic_vehicle,synthetic,easy,vehicle_motion,,,,,,,,,,,
synthetic_vehicle_048,a pink snowmobile beside a mechanic in a clean garage,pink snowmobile,synthetic_vehicle,synthetic,medium,vehicle_context,,,,,,,,,,,
synthetic_vehicle_049,a pink snowmobile floating over a calm lake,pink snowmobile,synthetic_vehicle,synthetic,medium,vehicle_surreal,,,,,,,,,,,
