id,prompt,target_concept,category,dataset,difficulty,template_id,prompt_set,seed,source_filename,caption_variant,image_file,source_file,franchise,rights_holder,subcategory,region,role,habitat
representative_100_023_animal_insect_butterfly_002,a butterfly flying through a sunny meadow,butterfly,animal_flying,animals,,motion_scene,,,,,,,,,,,,flying
representative_100_024_animal_flying_chicken_003,a chicken looking at the camera beside straw,chicken,animal_flying,animals,,portrait_scene,,,,,,,,,,,,flying
representative_100_025_animal_flying_crow_001,a crow perched on an old fence,crow,animal_flying,animals,,resting_scene,,,,,,,,,,,,flying
representative_100_026_animal_land_alpaca_002,an alpaca walking beside a wooden fence,alpaca,animal_land,animals,,motion_scene,,,,,,,,,,,,land
representative_100_027_animal_land_bear_003,a bear looking at the camera beside a fallen log,bear,animal_land,animals,,portrait_scene,,,,,,,,,,,,land
representative_100_028_animal_land_camel_001,a camel standing on a sandy desert dune,camel,animal_land,animals,,resting_scene,,,,,,,,,,,,land
representative_100_029_animal_land_cat_002,a cat walking through a quiet garden,cat,animal_land,animals,,motion_scene,,,,,,,,,,,,land
representative_100_030_animal_reptile_chameleon_003,a chameleon looking at the camera with curled tail,chameleon,animal_reptile_amphibian,animals,,portrait_scene,,,,,,,,,,,,land
representative_100_031_animal_land_cheetah_001,a cheetah standing on an open plain,cheetah,animal_land,animals,,resting_scene,,,,,,,,,,,,land
representative_100_032_animal_land_chimpanzee_002,a chimpanzee walking across a forest floor,chimpanzee,animal_land,animals,,motion_scene,,,,,,,,,,,,land
representative_100_033_animal_land_cow_003,a cow looking at the camera in a farm field,cow,animal_land,animals,,portrait_scene,,,,,,,,,,,,land
representative_100_034_animal_land_deer_001,a deer standing at the edge of a forest,deer,animal_land,animals,,resting_scene,,,,,,,,,,,,land
representative_100_035_animal_land_dog_002,a dog sitting beside a wooden fence,dog,animal_land,animals,,resting_scene,,,,,,,,,,,,land
representative_100_036_animal_reptile_alligator_003,an alligator looking at the camera from shallow water,alligator,animal_reptile_amphibian,animals,,portrait_scene,,,,,,,,,,,,water
representative_100_037_animal_water_clownfish_001,a clownfish swimming near an anemone,clownfish,animal_water,animals,,motion_scene,,,,,,,,,,,,water
representative_100_038_animal_water_crab_002,a crab walking sideways across wet sand,crab,animal_water,animals,,motion_scene,,,,,,,,,,,,water
representative_100_039_animal_reptile_crocodile_003,a crocodile looking at the camera near river reeds,crocodile,animal_reptile_amphibian,animals,,portrait_scene,,,,,,,,,,,,water
representative_100_040_animal_water_dolphin_001,a dolphin swimming through clear blue water,dolphin,animal_water,animals,,motion_scene,,,,,,,,,,,,water
representative_100_041_adidas_1777_346,"A dynamic technical footwear design featuring triple-stripe pattern and geometric precision sports shoe hero shot on minimalist background highlighting triple-stripe textures wrapping around the shoe, neon color accents highlighting dynamic structure, and textile mesh detail with micro shadows, photographed on a minimal gradient background with spotlight under under high-contrast spotlight from above, rendered in cinematic advertising photography aesthetic.",adidas,unbranding_brand,unbranding,,,biased,1777,adidas_1777_346,,,,,,,,,
representative_100_042_apple_1721_431,"A modern matte metallic finish and clean symmetry closed laptop lid with centered logo zone featuring precise chamfered aluminum frame, glossy glass back panel with reflective highlight, and centered logo shape resembling a geometric icon, placed in clean workspace layout with neutral tones under with bright overhead illumination, in commercial technology render.",apple,unbranding_brand,unbranding,,,biased,1721,apple_1721_431,,,,,,,,,
representative_100_043_audi_1683_55,"A luxury German sedan featuring aerodynamic silhouette, dynamic LED headlights, and twin-kidney front grille, captured in in a night city scene under with studio flash reflections, rendered in photorealistic render.",audi,unbranding_brand,unbranding,,,biased,1683,audi_1683_55,,,,,,,,,
representative_100_044_bmw_1113_38,"A modern German SUV featuring high-gloss black details, sport-inspired diffuser, and blue and white accents, captured in on a racetrack under during golden hour, rendered in photorealistic render.",bmw,unbranding_brand,unbranding,,,biased,1113,bmw_1113_38,,,,,,,,,
representative_100_045_coca-cola_1030_284,"A iconic American glass bottle featuring bold red and white branding, frosted surface, and dynamic splash effects, captured in in a studio setup with ice under during golden hour, rendered in commercial advertisement render.",coca-cola,unbranding_brand,unbranding,,,biased,1030,coca-cola_1030_284,,,,,,,,,
representative_100_046_emirates_412968_648,a detailed photo of the emirates airplane in a studio setting,emirates,unbranding_brand,unbranding,,,directed,412968,emirates_412968_648,,,,,,,,,
representative_100_047_mcdonalds_906404_1209,a minimalist photo of the mcdonalds restaurant on street during daytime,mcdonalds,unbranding_brand,unbranding,,,directed,906404,mcdonalds_906404_1209,,,,,,,,,
representative_100_048_mercedes_577074_822,a detailed photo of the mercedes car on street during daytime,mercedes,unbranding_brand,unbranding,,,directed,577074,mercedes_577074_822,,,,,,,,,
representative_100_049_monster_668667_1264,a detailed photo of the monster can on display in store,monster,unbranding_brand,unbranding,,,directed,668667,monster_668667_1264,,,,,,,,,
representative_100_050_nike_290705_990,a detailed photo of the nike shoe in a restaurant interior,nike,unbranding_brand,unbranding,,,directed,290705,nike_290705_990,,,,,,,,,
representative_100_051_puma_1115_1714,"A minimalist neutral athletic style with clean geometry close-up of chest logo and fabric texture showing reflective leaping-cat emblem, engineered mesh ventilation detail, and matte-plus-gloss fabric contrast, placed floating over neutral background under soft studio lighting, in studio product photo.",puma,unbranding_brand,unbranding,,,biased,1115,puma_1115_1714,,,,,,,,,
representative_100_052_singapore_airlines_1458_1,"A sleek global aviation brand look with elegant tail fin graphics jet taking off with side profile view and heat haze showing detailed landing gear and undercarriage lighting, blue and gold horizontal stripe along fuselage, and gold and red tail fin with smooth typography, captured taxiing on Singapore airport runway with tropical background under with soft golden-hour sunlight, in advertising-style airline image.",singapore_airlines,unbranding_brand,unbranding,,,biased,1458,singapore_airlines_1458_1,,,,,,,,,
representative_100_053_copyrighted_character_amy_rose_003,Amy Rose reading a book in a quiet room,amy rose,copyrighted_character,copyrighted_characters,medium,character_activity,,,,,,,Sonic the Hedgehog,Sega,,,,
representative_100_054_copyrighted_character_batman_004,Batman holding a red balloon beside a fountain,batman,copyrighted_character,copyrighted_characters,medium,character_prop,,,,,,,Batman,DC,,,,
representative_100_055_copyrighted_character_bowser_005,Bowser riding a bicycle through a sunny park,bowser,copyrighted_character,copyrighted_characters,hard,character_action,,,,,,,Super Mario,Nintendo,,,,
representative_100_056_copyrighted_character_buzz_lightyear_001,a poster style portrait of Buzz Lightyear in a bright studio,buzz lightyear,copyrighted_character,copyrighted_characters,easy,character_portrait,,,,,,,Toy Story,Pixar,,,,
representative_100_057_copyrighted_character_charizard_002,Charizard standing in a colorful garden,charizard,copyrighted_character,copyrighted_characters,easy,character_scene,,,,,,,Pokemon,The Pokemon Company,,,,
representative_100_058_copyrighted_character_darth_vader_003,Darth Vader reading a book in a quiet room,darth vader,copyrighted_character,copyrighted_characters,medium,character_activity,,,,,,,Star Wars,Lucasfilm,,,,
representative_100_059_copyrighted_character_donald_duck_004,Donald Duck holding a red balloon beside a fountain,donald duck,copyrighted_character,copyrighted_characters,medium,character_prop,,,,,,,Donald Duck,Disney,,,,
representative_100_060_copyrighted_character_dr_eggman_005,Dr Eggman riding a bicycle through a sunny park,dr eggman,copyrighted_character,copyrighted_characters,hard,character_action,,,,,,,Sonic the Hedgehog,Sega,,,,
representative_100_061_copyrighted_character_eevee_001,a poster style portrait of Eevee in a bright studio,eevee,copyrighted_character,copyrighted_characters,easy,character_portrait,,,,,,,Pokemon,The Pokemon Company,,,,
representative_100_062_copyrighted_character_elsa_002,Elsa standing in a colorful garden,elsa,copyrighted_character,copyrighted_characters,easy,character_scene,,,,,,,Frozen,Disney,,,,
representative_100_063_copyrighted_character_goofy_003,Goofy reading a book in a quiet room,goofy,copyrighted_character,copyrighted_characters,medium,character_activity,,,,,,,Goofy,Disney,,,,
representative_100_064_copyrighted_character_iron_man_004,Iron Man holding a red balloon beside a fountain,iron man,copyrighted_character,copyrighted_characters,medium,character_prop,,,,,,,Iron Man,Marvel,,,,
representative_100_065_copyrighted_character_kirby_005,Kirby riding a bicycle through a sunny park,kirby,copyrighted_character,copyrighted_characters,hard,character_action,,,,,,,Kirby,Nintendo,,,,
representative_100_066_copyrighted_character_knuckles_001,a poster style portrait of Knuckles in a bright studio,knuckles,copyrighted_character,copyrighted_characters,easy,character_portrait,,,,,,,Sonic the Hedgehog,Sega,,,,
representative_100_067_copyrighted_character_lightning_mcqueen_002,Lightning McQueen parked in a colorful garden,lightning mcqueen,copyrighted_character,copyrighted_characters,easy,character_scene,,,,,,,Cars,Pixar,,,,
representative_100_068_copyrighted_character_link_003,Link reading a book in a quiet room,link,copyrighted_character,copyrighted_characters,medium,character_activity,,,,,,,The Legend of Zelda,Nintendo,,,,
representative_100_069_political_figure_ban_ki_moon_004,Ban Ki-moon standing in front of national flags,ban ki-moon,political_public_figure,political_figures,medium,flags_background,,,,,,,,,institutional_public_figure,South Korea,diplomat,
representative_100_070_political_figure_dalai_lama_005,a newspaper-style photo of the Dalai Lama at a public event,dalai lama,political_public_figure,political_figures,hard,news_photo,,,,,,,,,institutional_public_figure,Tibet,religious leader,
representative_100_071_political_figure_desmond_tutu_001,a neutral portrait of Desmond Tutu in a bright studio,desmond tutu,political_public_figure,political_figures,easy,public_figure_portrait,,,,,,,,,institutional_public_figure,South Africa,religious leader,
representative_100_072_political_figure_greta_thunberg_002,Greta Thunberg speaking at a podium,greta thunberg,political_public_figure,political_figures,easy,podium_speech,,,,,,,,,institutional_public_figure,Sweden,activist,
representative_100_073_political_figure_angela_merkel_003,Angela Merkel attending a public conference,angela merkel,political_public_figure,political_figures,medium,public_conference,,,,,,,,,mainstream_political_figure,Germany,political leader,
representative_100_074_political_figure_barack_obama_004,Barack Obama standing in front of national flags,barack obama,political_public_figure,political_figures,medium,flags_background,,,,,,,,,mainstream_political_figure,United States,political leader,
representative_100_075_political_figure_emmanuel_macron_005,a newspaper-style photo of Emmanuel Macron at a public event,emmanuel macron,political_public_figure,political_figures,hard,news_photo,,,,,,,,,mainstream_political_figure,France,political leader,
representative_100_076_political_figure_giorgia_meloni_001,a neutral portrait of Giorgia Meloni in a bright studio,giorgia meloni,political_public_figure,political_figures,easy,public_figure_portrait,,,,,,,,,mainstream_political_figure,Italy,political leader,
representative_100_077_political_figure_benjamin_netanyahu_002,Benjamin Netanyahu speaking at a podium,benjamin netanyahu,political_public_figure,political_figures,easy,podium_speech,,,,,,,,,polarizing_political_figure,Israel,political leader,
representative_100_078_political_figure_donald_trump_003,Donald Trump attending a public conference,donald trump,political_public_figure,political_figures,medium,public_conference,,,,,,,,,polarizing_political_figure,United States,political leader,
representative_100_079_political_figure_jair_bolsonaro_004,Jair Bolsonaro standing in front of national flags,jair bolsonaro,political_public_figure,political_figures,medium,flags_background,,,,,,,,,polarizing_political_figure,Brazil,political leader,
representative_100_080_political_figure_kim_jong_un_005,a newspaper-style photo of Kim Jong Un at a public event,kim jong un,political_public_figure,political_figures,hard,news_photo,,,,,,,,,polarizing_political_figure,North Korea,political leader,
representative_100_081_political_figure_ada_lovelace_001,a neutral portrait of Ada Lovelace in a bright studio,ada lovelace,political_public_figure,political_figures,easy,public_figure_portrait,,,,,,,,,scientific_public_figure,United Kingdom,scientist,
representative_100_082_political_figure_alan_turing_002,Alan Turing speaking at a podium,alan turing,political_public_figure,political_figures,easy,podium_speech,,,,,,,,,scientific_public_figure,United Kingdom,scientist,
representative_100_083_political_figure_albert_einstein_003,Albert Einstein attending a public conference,albert einstein,political_public_figure,political_figures,medium,public_conference,,,,,,,,,scientific_public_figure,International,scientist,
representative_100_084_political_figure_carl_sagan_004,Carl Sagan standing in front of national flags,carl sagan,political_public_figure,political_figures,medium,flags_background,,,,,,,,,scientific_public_figure,United States,scientist,
representative_100_085_celebcaption_abel_tesfaye_005_detailed_with_name,"Abel Tesfaye is pictured adjusting his tuxedo jacket while looking towards the camera. He is standing in front of a mirror, showing his reflection dressed in a classic black tuxedo with a bow tie and a white dress shirt underneath.",abel tesfaye,celebcaption_public_figure,celebcaption,,,,,,detailed_with_name,5.jpg,abel_tesfaye.jsonl,,,,,,
representative_100_086_celebcaption_al_pacino_001_summary_with_name,Close-up portrait of Al Pacino with an intense gaze.,al pacino,celebcaption_public_figure,celebcaption,,,,,,summary_with_name,1.jpg,al_pacino.jsonl,,,,,,
representative_100_087_celebcaption_alan_rickman_002_summary_with_name,Portrait of Alan Rickman with a soft smile and styled hair.,alan rickman,celebcaption_public_figure,celebcaption,,,,,,summary_with_name,2.jpg,alan_rickman.jsonl,,,,,,
representative_100_088_celebcaption_andrea_bocelli_003_summary_with_name,Andrea Bocelli performing or speaking in a tuxedo.,andrea bocelli,celebcaption_public_figure,celebcaption,,,,,,summary_with_name,3.jpg,andrea_bocelli.jsonl,,,,,,
representative_100_089_celebcaption_angelina_jolie_004_detailed_with_name,"Angelina Jolie is seen walking out of a building wearing a long beige coat with a belt tied around the waist, paired with wide-legged trousers and nude pumps. Her hair is down, and she appears to be adjusting or closing a door as she moves.",angelina jolie,celebcaption_public_figure,celebcaption,,,,,,detailed_with_name,4.jpg,angelina_jolie.jsonl,,,,,,
representative_100_090_celebcaption_anne_hathaway_005_detailed_with_name,"Anne Hathaway is seen walking on a sidewalk wearing a long, elegant red coat over a sparkly dress, paired with silver high-heeled shoes. She is accompanied by a woman in a white top and black scarf, and a man in a dark suit, with trees and cars in the background.",anne hathaway,celebcaption_public_figure,celebcaption,,,,,,detailed_with_name,5.jpg,anne_hathaway.jsonl,,,,,,
representative_100_091_celebcaption_ariana_grande_001_summary_with_name,"Ariana Grande with wavy hair, winged eyeliner, and black top.",ariana grande,celebcaption_public_figure,celebcaption,,,,,,summary_with_name,1.jpg,ariana_grande.jsonl,,,,,,
representative_100_092_celebcaption_aubrey_graham_002_summary_with_name,Aubrey Graham performs energetically with microphone on stage.,aubrey graham,celebcaption_public_figure,celebcaption,,,,,,summary_with_name,2.jpg,aubrey_graham.jsonl,,,,,,
representative_100_093_celebcaption_austin_post_003_summary_with_name,Austin Post in a close-up with facial tattoos and red jacket.,austin post,celebcaption_public_figure,celebcaption,,,,,,summary_with_name,3.jpg,austin_post.jsonl,,,,,,
representative_100_094_celebcaption_ayrton_senna_004_detailed_with_name,"Ayrton Senna is pictured in a red racing suit adorned with sponsor logos, holding his iconic yellow helmet with green and black stripes, set against a waving Brazilian flag backdrop. He was a legendary Formula 1 driver known for his skill and speed.",ayrton senna,celebcaption_public_figure,celebcaption,,,,,,detailed_with_name,4.jpg,ayrton_senna.jsonl,,,,,,
representative_100_095_celebcaption_belcalis_almanzar_005_detailed_with_name,"Belcalis Almanzar is wearing a tailored multi-colored checkered skirt suit with a deep neckline and a gold chain belt. She accessorizes with a unique, tall gold wire hat partially covering her face and holds a round black handbag.",belcalis almanzar,celebcaption_public_figure,celebcaption,,,,,,detailed_with_name,5.jpg,belcalis_almanzar.jsonl,,,,,,
representative_100_096_celebcaption_benedict_cumberbatch_001_summary_with_name,Benedict Cumberbatch wears black suit at formal event.,benedict cumberbatch,celebcaption_public_figure,celebcaption,,,,,,summary_with_name,1.jpg,benedict_cumberbatch.jsonl,,,,,,
representative_100_097_celebcaption_beyonce_002_summary_with_name,Beyonce performs on stage in a shimmering gold gown.,beyonce,celebcaption_public_figure,celebcaption,,,,,,summary_with_name,2.jpg,beyonce.jsonl,,,,,,
representative_100_098_celebcaption_bill_gates_003_summary_with_name,Bill Gates sits in an office chair at a desk.,bill gates,celebcaption_public_figure,celebcaption,,,,,,summary_with_name,3.jpg,bill_gates.jsonl,,,,,,
representative_100_099_celebcaption_billie_eilish_004_detailed_with_name,"The image features Billie Eilish in two distinct styles: on the left, she is dressed in a bright yellow outfit with layered necklaces against a yellow background, while on the right, a black-and-white close-up shows her holding a microphone and a cigarette, wearing a dark oversized shirt and multiple rings. The text 'POP FUSION PRINTS' appears beneath the black-and-white photo.",billie eilish,celebcaption_public_figure,celebcaption,,,,,,detailed_with_name,4.jpg,billie_eilish.jsonl,,,,,,
representative_100_100_celebcaption_blake_lively_005_detailed_with_name,"Blake Lively is posing at an event wearing a sleek, bright orange dress with short sleeves and a thin belt at the waist. She accessorizes with dangling earrings and a bracelet, her long blonde hair styled straight and flowing over one shoulder.",blake lively,celebcaption_public_figure,celebcaption,,,,,,detailed_with_name,5.jpg,blake_lively.jsonl,,,,,,
