id,prompt,target_concept,category,caption_variant,image_file,source_file
celebcaption_alan_rickman_001_summary_with_name,"Alan Rickman shares an intimate, emotional moment with a woman.",alan rickman,celebcaption_public_figure,summary_with_name,1.jpg,alan_rickman.jsonl
celebcaption_alan_rickman_002_summary_with_name,Portrait of Alan Rickman with a soft smile and styled hair.,alan rickman,celebcaption_public_figure,summary_with_name,2.jpg,alan_rickman.jsonl
celebcaption_alan_rickman_003_summary_with_name,Alan Rickman in a close-up contemplative portrait.,alan rickman,celebcaption_public_figure,summary_with_name,3.jpg,alan_rickman.jsonl
celebcaption_alan_rickman_004_detailed_with_name,"Alan Rickman is shown in this image wearing a black jacket over a dark blue shirt, posing with a subtle smirk and his right hand partially covering his mouth. He has tousled light brown hair and is set against a plain white background, giving a sophisticated and thoughtful expression.",alan rickman,celebcaption_public_figure,detailed_with_name,4.jpg,alan_rickman.jsonl
celebcaption_alan_rickman_005_detailed_with_name,"Alan Rickman is shown smiling warmly in a close-up shot, dressed in a formal black suit with a white shirt and dark tie, with his light-colored hair swept back. The lighting highlights his expressive face against a dark, blurred background.",alan rickman,celebcaption_public_figure,detailed_with_name,5.jpg,alan_rickman.jsonl
celebcaption_andrea_bocelli_001_summary_with_name,Andrea Bocelli receives an award during a formal event.,andrea bocelli,celebcaption_public_figure,summary_with_name,1.jpg,andrea_bocelli.jsonl
celebcaption_andrea_bocelli_002_summary_with_name,Andrea Bocelli performs emotionally in a tuxedo on stage.,andrea bocelli,celebcaption_public_figure,summary_with_name,2.jpg,andrea_bocelli.jsonl
celebcaption_andrea_bocelli_003_summary_with_name,Andrea Bocelli performing or speaking in a tuxedo.,andrea bocelli,celebcaption_public_figure,summary_with_name,3.jpg,andrea_bocelli.jsonl
celebcaption_andrea_bocelli_004_detailed_with_name,"Andrea Bocelli is performing on stage, holding a microphone in one hand while dressed in a black suit and shirt. Behind him, there are musicians playing instruments, a backdrop with elaborate lighting, and a semi-circular decorative element illuminated with small lights.",andrea bocelli,celebcaption_public_figure,detailed_with_name,4.jpg,andrea_bocelli.jsonl
celebcaption_andrea_bocelli_005_detailed_with_name,"Andrea Bocelli is standing on stage wearing a vibrant blue patterned tuxedo jacket over a black vest and bow tie, smiling warmly. He is surrounded by orchestral musicians who are seated and appear to be preparing their string instruments, with one conductor holding a baton.",andrea bocelli,celebcaption_public_figure,detailed_with_name,5.jpg,andrea_bocelli.jsonl
celebcaption_angelina_jolie_001_summary_with_name,Angelina Jolie casually dressed in black with sunglasses outdoors.,angelina jolie,celebcaption_public_figure,summary_with_name,1.jpg,angelina_jolie.jsonl
celebcaption_angelina_jolie_002_summary_with_name,Angelina Jolie walks outside with coffee and a paper bag.,angelina jolie,celebcaption_public_figure,summary_with_name,2.jpg,angelina_jolie.jsonl
celebcaption_angelina_jolie_003_summary_with_name,Angelina Jolie walks at night holding a black umbrella.,angelina jolie,celebcaption_public_figure,summary_with_name,3.jpg,angelina_jolie.jsonl
celebcaption_angelina_jolie_004_detailed_with_name,"Angelina Jolie is seen walking out of a building wearing a long beige coat with a belt tied around the waist, paired with wide-legged trousers and nude pumps. Her hair is down, and she appears to be adjusting or closing a door as she moves.",angelina jolie,celebcaption_public_figure,detailed_with_name,4.jpg,angelina_jolie.jsonl
celebcaption_angelina_jolie_005_detailed_with_name,"Angelina Jolie is seen standing beside a black vehicle, wearing a white sleeveless dress and large dark sunglasses. She appears to be opening or closing the car door, with a chain-link fence and stacked goods visible in the background.",angelina jolie,celebcaption_public_figure,detailed_with_name,5.jpg,angelina_jolie.jsonl
celebcaption_anne_hathaway_001_summary_with_name,Anne Hathaway poses in a sleeveless black turtleneck and plaid coat.,anne hathaway,celebcaption_public_figure,summary_with_name,1.jpg,anne_hathaway.jsonl
celebcaption_anne_hathaway_002_summary_with_name,Anne Hathaway speaks at lectern wearing red-orange dress.,anne hathaway,celebcaption_public_figure,summary_with_name,2.jpg,anne_hathaway.jsonl
celebcaption_anne_hathaway_003_summary_with_name,Anne Hathaway wearing white blazer and skirt with sunglasses.,anne hathaway,celebcaption_public_figure,summary_with_name,3.jpg,anne_hathaway.jsonl
celebcaption_anne_hathaway_004_detailed_with_name,"Anne Hathaway is smiling broadly in the image, wearing a black jacket paired with a distinctive light blue denim corset and matching denim pants. She is standing outdoors with a crowd of people behind her, many capturing the moment on their phones.",anne hathaway,celebcaption_public_figure,detailed_with_name,4.jpg,anne_hathaway.jsonl
celebcaption_anne_hathaway_005_detailed_with_name,"Anne Hathaway is seen walking on a sidewalk wearing a long, elegant red coat over a sparkly dress, paired with silver high-heeled shoes. She is accompanied by a woman in a white top and black scarf, and a man in a dark suit, with trees and cars in the background.",anne hathaway,celebcaption_public_figure,detailed_with_name,5.jpg,anne_hathaway.jsonl
celebcaption_ariana_grande_001_summary_with_name,"Ariana Grande with wavy hair, winged eyeliner, and black top.",ariana grande,celebcaption_public_figure,summary_with_name,1.jpg,ariana_grande.jsonl
celebcaption_ariana_grande_002_summary_with_name,Ariana Grande with sleek ponytail and bold makeup in a close-up.,ariana grande,celebcaption_public_figure,summary_with_name,2.jpg,ariana_grande.jsonl
celebcaption_ariana_grande_003_summary_with_name,Ariana Grande close-up portrait with long blonde hair.,ariana grande,celebcaption_public_figure,summary_with_name,3.jpg,ariana_grande.jsonl
celebcaption_ariana_grande_004_detailed_with_name,"Ariana Grande is smiling warmly while wearing under-eye gel patches, dressed in a black sleeveless top with long blonde hair flowing over one shoulder. She stands in front of a bright window with a blurred background of trees and a room interior.",ariana grande,celebcaption_public_figure,detailed_with_name,4.jpg,ariana_grande.jsonl
celebcaption_ariana_grande_005_detailed_with_name,"Ariana Grande is shown posing in a sleek, asymmetrical black dress with one long sleeve, standing against a plain wall. Her blonde hair is pulled back in a tight style, and she wears striking red lipstick and pearl earrings, with visible tattoos on her left arm and hand.",ariana grande,celebcaption_public_figure,detailed_with_name,5.jpg,ariana_grande.jsonl
celebcaption_aubrey_graham_001_summary_with_name,Portrait of Aubrey Graham in an olive jacket.,aubrey graham,celebcaption_public_figure,summary_with_name,1.jpg,aubrey_graham.jsonl
celebcaption_aubrey_graham_002_summary_with_name,Aubrey Graham performs energetically with microphone on stage.,aubrey graham,celebcaption_public_figure,summary_with_name,2.jpg,aubrey_graham.jsonl
celebcaption_aubrey_graham_003_summary_with_name,Portrait of Aubrey Graham with a neat haircut and black shirt.,aubrey graham,celebcaption_public_figure,summary_with_name,3.jpg,aubrey_graham.jsonl
celebcaption_aubrey_graham_004_detailed_with_name,"Aubrey Graham is shown in a close-up portrait wearing a bright blue shirt, with a neutral expression and neatly cropped hair. The background is blurred, putting full focus on him and highlighting his facial features clearly.",aubrey graham,celebcaption_public_figure,detailed_with_name,4.jpg,aubrey_graham.jsonl
celebcaption_aubrey_graham_005_detailed_with_name,"Aubrey Graham is seated at an event wearing a black tuxedo jacket with a satin lapel, a white dress shirt, and a black bow tie. He has a neatly groomed short hairstyle and is accessorized with a gold wristwatch while posing with his hands clasped.",aubrey graham,celebcaption_public_figure,detailed_with_name,5.jpg,aubrey_graham.jsonl
celebcaption_austin_post_001_summary_with_name,Austin Post posing with a playful expression and tattoos.,austin post,celebcaption_public_figure,summary_with_name,1.jpg,austin_post.jsonl
celebcaption_austin_post_002_summary_with_name,Austin Post stands inside a flaming circular structure.,austin post,celebcaption_public_figure,summary_with_name,2.jpg,austin_post.jsonl
celebcaption_austin_post_003_summary_with_name,Austin Post in a close-up with facial tattoos and red jacket.,austin post,celebcaption_public_figure,summary_with_name,3.jpg,austin_post.jsonl
celebcaption_austin_post_004_detailed_with_name,"Austin Post is dressed in a black suit with a white shirt and a patterned tie, wearing a black cap, and showing a peace sign with his left hand while holding a red cup in his right hand at an event with a backdrop featuring 'Songwriters Hall of Fame' and 'American Airlines'. He has a full beard and multiple face tattoos visible in the image.",austin post,celebcaption_public_figure,detailed_with_name,4.jpg,austin_post.jsonl
celebcaption_austin_post_005_detailed_with_name,"Austin Post is seen shirtless, sitting by the edge of a swimming pool with his tattooed arms resting on his knees, in an outdoor setting with lounge chairs, plants, and a vehicle in the background.",austin post,celebcaption_public_figure,detailed_with_name,5.jpg,austin_post.jsonl
celebcaption_ayrton_senna_001_summary_with_name,Ayrton Senna examines papers outdoors wearing sunglasses.,ayrton senna,celebcaption_public_figure,summary_with_name,1.jpg,ayrton_senna.jsonl
celebcaption_ayrton_senna_002_summary_with_name,Ayrton Senna signs an autograph for an older man.,ayrton senna,celebcaption_public_figure,summary_with_name,2.jpg,ayrton_senna.jsonl
celebcaption_ayrton_senna_003_summary_with_name,Ayrton Senna wearing his iconic yellow racing helmet.,ayrton senna,celebcaption_public_figure,summary_with_name,3.jpg,ayrton_senna.jsonl
celebcaption_ayrton_senna_004_detailed_with_name,"Ayrton Senna is pictured in a red racing suit adorned with sponsor logos, holding his iconic yellow helmet with green and black stripes, set against a waving Brazilian flag backdrop. He was a legendary Formula 1 driver known for his skill and speed.",ayrton senna,celebcaption_public_figure,detailed_with_name,4.jpg,ayrton_senna.jsonl
celebcaption_ayrton_senna_005_detailed_with_name,"Ayrton Senna is depicted wearing a red racing suit adorned with several sponsor logos, including Marlboro, Shell, and Goodyear. He stands with his arms crossed, displaying a confident and focused expression.",ayrton senna,celebcaption_public_figure,detailed_with_name,5.jpg,ayrton_senna.jsonl
celebcaption_barack_obama_001_summary_with_name,Barack Obama smiling and speaking into a microphone.,barack obama,celebcaption_public_figure,summary_with_name,1.jpg,barack_obama.jsonl
celebcaption_barack_obama_002_summary_with_name,Barack Obama speaking with a microphone in hand,barack obama,celebcaption_public_figure,summary_with_name,2.jpg,barack_obama.jsonl
celebcaption_barack_obama_003_summary_with_name,Barack Obama smiling broadly with eyes closed in formal attire.,barack obama,celebcaption_public_figure,summary_with_name,3.jpg,barack_obama.jsonl
celebcaption_barack_obama_004_detailed_with_name,"Barack Obama is standing near a body of water with cliffs and greenery in the background, wearing a light blue button-down shirt. The photo captures a casual outdoor moment with Barack Obama speaking or posing directly towards the camera.",barack obama,celebcaption_public_figure,detailed_with_name,4.jpg,barack_obama.jsonl
celebcaption_barack_obama_005_detailed_with_name,"Barack Obama is shown speaking while holding a microphone, dressed in a black suit and gray shirt, against a dark background. He appears to be engaged in a public speaking event, using hand gestures to emphasize his points.",barack obama,celebcaption_public_figure,detailed_with_name,5.jpg,barack_obama.jsonl
celebcaption_belcalis_almanzar_001_summary_with_name,Belcalis Almanzar wears a unique headpiece and patterned jacket.,belcalis almanzar,celebcaption_public_figure,summary_with_name,1.jpg,belcalis_almanzar.jsonl
celebcaption_belcalis_almanzar_002_summary_with_name,"Belcalis Almanzar in a black dress with gold accessories, on stairs.",belcalis almanzar,celebcaption_public_figure,summary_with_name,2.jpg,belcalis_almanzar.jsonl
celebcaption_belcalis_almanzar_003_summary_with_name,Belcalis Almanzar takes a selfie with voluminous curly hair.,belcalis almanzar,celebcaption_public_figure,summary_with_name,3.jpg,belcalis_almanzar.jsonl
celebcaption_belcalis_almanzar_004_detailed_with_name,"Belcalis Almanzar is shown in a close-up image with perfectly styled dark hair slicked back and neatly parted to the side. She wears bold red lipstick, long eyelashes, and subtle eye shadow that highlight her facial features.",belcalis almanzar,celebcaption_public_figure,detailed_with_name,4.jpg,belcalis_almanzar.jsonl
celebcaption_belcalis_almanzar_005_detailed_with_name,"Belcalis Almanzar is wearing a tailored multi-colored checkered skirt suit with a deep neckline and a gold chain belt. She accessorizes with a unique, tall gold wire hat partially covering her face and holds a round black handbag.",belcalis almanzar,celebcaption_public_figure,detailed_with_name,5.jpg,belcalis_almanzar.jsonl
celebcaption_benedict_cumberbatch_001_summary_with_name,Benedict Cumberbatch wears black suit at formal event.,benedict cumberbatch,celebcaption_public_figure,summary_with_name,1.jpg,benedict_cumberbatch.jsonl
celebcaption_benedict_cumberbatch_002_summary_with_name,Benedict Cumberbatch giving an animated interview at an event.,benedict cumberbatch,celebcaption_public_figure,summary_with_name,2.jpg,benedict_cumberbatch.jsonl
celebcaption_benedict_cumberbatch_003_summary_with_name,Benedict Cumberbatch in a black suit at a formal event.,benedict cumberbatch,celebcaption_public_figure,summary_with_name,3.jpg,benedict_cumberbatch.jsonl
celebcaption_benedict_cumberbatch_004_detailed_with_name,"Benedict Cumberbatch is seen wearing a black suit, white shirt, and black tie, standing against a backdrop featuring the logos of MUFG and Montblanc. He has neatly styled hair and a composed expression at what appears to be a formal event or premiere.",benedict cumberbatch,celebcaption_public_figure,detailed_with_name,4.jpg,benedict_cumberbatch.jsonl
celebcaption_benedict_cumberbatch_005_detailed_with_name,"Benedict Cumberbatch is seen standing in an office environment, leaning slightly against a desk with a focused expression. He is wearing a dark sweater over a light pink shirt, with other people and office equipment visible in the background, highlighting a professional setting.",benedict cumberbatch,celebcaption_public_figure,detailed_with_name,5.jpg,benedict_cumberbatch.jsonl
celebcaption_beyonce_001_summary_with_name,Beyonce sings on stage with backup dancers in white.,beyonce,celebcaption_public_figure,summary_with_name,1.jpg,beyonce.jsonl
celebcaption_beyonce_002_summary_with_name,Beyonce performs on stage in a shimmering gold gown.,beyonce,celebcaption_public_figure,summary_with_name,2.jpg,beyonce.jsonl
celebcaption_beyonce_003_summary_with_name,Beyonce performs on stage in a dramatic black feathered dress.,beyonce,celebcaption_public_figure,summary_with_name,3.jpg,beyonce.jsonl
celebcaption_beyonce_004_detailed_with_name,"Beyonce is sitting in the driver's seat of a vintage light blue car, looking directly at the camera while wearing a luxurious white fur coat and long braided hair. Her left arm rests inside the car window, adorned with multiple rings and bracelets, giving a glamorous and powerful vibe.",beyonce,celebcaption_public_figure,detailed_with_name,4.jpg,beyonce.jsonl
celebcaption_beyonce_005_detailed_with_name,"Beyonce is performing on stage with a group of backup dancers, all wearing coordinated black outfits and boots. The stage is brightly lit, and a large screen behind them displays a close-up of Beyonce singing into a microphone.",beyonce,celebcaption_public_figure,detailed_with_name,5.jpg,beyonce.jsonl
celebcaption_bill_gates_001_summary_with_name,Bill Gates sits smiling under the Microsoft logo.,bill gates,celebcaption_public_figure,summary_with_name,1.jpg,bill_gates.jsonl
celebcaption_bill_gates_002_summary_with_name,Bill Gates working at his desk in an office with an ocean view.,bill gates,celebcaption_public_figure,summary_with_name,2.jpg,bill_gates.jsonl
celebcaption_bill_gates_003_summary_with_name,Bill Gates sits in an office chair at a desk.,bill gates,celebcaption_public_figure,summary_with_name,3.jpg,bill_gates.jsonl
celebcaption_bill_gates_004_detailed_with_name,"Bill Gates is shown with a slight smirk on his face, wearing glasses and looking off to the side against a blurred blue background. His expression suggests he is in a thoughtful or reflective moment during a public appearance or event.",bill gates,celebcaption_public_figure,detailed_with_name,4.jpg,bill_gates.jsonl
celebcaption_bill_gates_005_detailed_with_name,"Bill Gates is standing on a balcony against a backdrop of modern office buildings, wearing a navy blue cable-knit sweater over a light blue collared shirt and glasses, with one hand resting on the railing and the other in his pocket.",bill gates,celebcaption_public_figure,detailed_with_name,5.jpg,bill_gates.jsonl
celebcaption_billie_eilish_001_summary_with_name,Billie Eilish in black outfit with gold necklace on yellow background.,billie eilish,celebcaption_public_figure,summary_with_name,1.jpg,billie_eilish.jsonl
celebcaption_billie_eilish_002_summary_with_name,Billie Eilish with platinum blonde hair and thoughtful expression.,billie eilish,celebcaption_public_figure,summary_with_name,2.jpg,billie_eilish.jsonl
celebcaption_billie_eilish_003_summary_with_name,Billie Eilish poses with bright yellow hair and a thoughtful expression.,billie eilish,celebcaption_public_figure,summary_with_name,3.jpg,billie_eilish.jsonl
celebcaption_billie_eilish_004_detailed_with_name,"The image features Billie Eilish in two distinct styles: on the left, she is dressed in a bright yellow outfit with layered necklaces against a yellow background, while on the right, a black-and-white close-up shows her holding a microphone and a cigarette, wearing a dark oversized shirt and multiple rings. The text 'POP FUSION PRINTS' appears beneath the black-and-white photo.",billie eilish,celebcaption_public_figure,detailed_with_name,4.jpg,billie_eilish.jsonl
celebcaption_billie_eilish_005_detailed_with_name,"Billie Eilish is passionately singing into a large studio microphone while wearing black headphones and a black outfit, set against a bright yellow background. Her long, platinum blonde hair contrasts with her dark clothing and the vibrant backdrop, highlighting her expressive performance.",billie eilish,celebcaption_public_figure,detailed_with_name,5.jpg,billie_eilish.jsonl
celebcaption_blake_lively_001_summary_with_name,Blake Lively smiling at an event wearing a white shirt.,blake lively,celebcaption_public_figure,summary_with_name,1.jpg,blake_lively.jsonl
celebcaption_blake_lively_002_summary_with_name,Blake Lively poses on the red carpet in an elegant red gown.,blake lively,celebcaption_public_figure,summary_with_name,2.jpg,blake_lively.jsonl
celebcaption_blake_lively_003_summary_with_name,Blake Lively smiles wearing a white sleeveless dress.,blake lively,celebcaption_public_figure,summary_with_name,3.jpg,blake_lively.jsonl
celebcaption_blake_lively_004_detailed_with_name,"Blake Lively is seen smiling brightly in this close-up image, showcasing her light green eyes and long blonde hair. She is wearing a sheer top adorned with intricate pink and purple floral embroidery and elegant dangling earrings.",blake lively,celebcaption_public_figure,detailed_with_name,4.jpg,blake_lively.jsonl
celebcaption_blake_lively_005_detailed_with_name,"Blake Lively is posing at an event wearing a sleek, bright orange dress with short sleeves and a thin belt at the waist. She accessorizes with dangling earrings and a bracelet, her long blonde hair styled straight and flowing over one shoulder.",blake lively,celebcaption_public_figure,detailed_with_name,5.jpg,blake_lively.jsonl
celebcaption_brad_pitt_001_summary_with_name,Black and white detailed portrait of Brad Pitt with earpiece.,brad pitt,celebcaption_public_figure,summary_with_name,1.jpg,brad_pitt.jsonl
celebcaption_brad_pitt_002_summary_with_name,Brad Pitt poses relaxed with a cloudy sky background.,brad pitt,celebcaption_public_figure,summary_with_name,2.jpg,brad_pitt.jsonl
celebcaption_brad_pitt_003_summary_with_name,Close-up black-and-white portrait of Brad Pitt with intense expression.,brad pitt,celebcaption_public_figure,summary_with_name,3.jpg,brad_pitt.jsonl
celebcaption_brad_pitt_004_detailed_with_name,"This is a highly detailed and realistic colored pencil drawing of Brad Pitt, capturing his facial features, light beard, and medium-length hair with great precision. The portrait shows him wearing a white shirt, with careful shading and texture that highlight his expression and skin tones.",brad pitt,celebcaption_public_figure,detailed_with_name,4.jpg,brad_pitt.jsonl
celebcaption_brad_pitt_005_detailed_with_name,"This hyper-realistic digital portrait features Brad Pitt with a finely detailed face showing subtle wrinkles and light stubble. He is wearing a blue crew neck shirt under a brown leather jacket with a prominent zipper, posed against a warm, softly blurred background.",brad pitt,celebcaption_public_figure,detailed_with_name,5.jpg,brad_pitt.jsonl
celebcaption_britney_spears_001_summary_with_name,Britney Spears smiling with blonde hair and blue necklace.,britney spears,celebcaption_public_figure,summary_with_name,1.jpg,britney_spears.jsonl
celebcaption_britney_spears_002_summary_with_name,Britney Spears sitting cross-legged smiling on wooden floor.,britney spears,celebcaption_public_figure,summary_with_name,2.jpg,britney_spears.jsonl
celebcaption_britney_spears_003_summary_with_name,Britney Spears sings energetically in a pink and white outfit.,britney spears,celebcaption_public_figure,summary_with_name,3.jpg,britney_spears.jsonl
celebcaption_britney_spears_004_detailed_with_name,"Britney Spears is seen smiling in a close-up photo at what appears to be a busy indoor event, wearing a white dress and a sparkling necklace with her blonde hair styled straight and parted to the side.",britney spears,celebcaption_public_figure,detailed_with_name,4.jpg,britney_spears.jsonl
celebcaption_britney_spears_005_detailed_with_name,"Britney Spears is seated on the floor against a plain backdrop, wearing a loose pink button-up shirt over a pink top, paired with embellished blue jeans and strappy pink sandals. Her blonde hair is styled in a shoulder-length cut, and she has subtle makeup with purple eye shadow.",britney spears,celebcaption_public_figure,detailed_with_name,5.jpg,britney_spears.jsonl
celebcaption_bruce_springsteen_001_summary_with_name,Bruce Springsteen passionately performs live with microphone and guitar.,bruce springsteen,celebcaption_public_figure,summary_with_name,1.jpg,bruce_springsteen.jsonl
celebcaption_bruce_springsteen_002_summary_with_name,Bruce Springsteen plays guitar to a huge crowd outdoors.,bruce springsteen,celebcaption_public_figure,summary_with_name,2.jpg,bruce_springsteen.jsonl
celebcaption_bruce_springsteen_003_summary_with_name,Bruce Springsteen performs live with a fellow guitarist on stage.,bruce springsteen,celebcaption_public_figure,summary_with_name,3.jpg,bruce_springsteen.jsonl
celebcaption_bruce_springsteen_004_detailed_with_name,"Bruce Springsteen is performing on a large stage with multiple band members under a bright, curved array of stage lights, in front of a large crowd. The setup includes guitars, drums, and keyboards, showcasing a dynamic live concert environment.",bruce springsteen,celebcaption_public_figure,detailed_with_name,4.jpg,bruce_springsteen.jsonl
celebcaption_bruce_springsteen_005_detailed_with_name,"Bruce Springsteen is performing on stage, playing an electric guitar with intense focus. He is wearing a red button-up shirt and black pants, with stage lights illuminating him from above, and other band members are visible in the background.",bruce springsteen,celebcaption_public_figure,detailed_with_name,5.jpg,bruce_springsteen.jsonl
celebcaption_cate_blanchett_001_summary_with_name,Cate Blanchett poses in a shimmering gown at AACTA Awards.,cate blanchett,celebcaption_public_figure,summary_with_name,1.jpg,cate_blanchett.jsonl
celebcaption_cate_blanchett_002_summary_with_name,Cate Blanchett poses in an embellished gown with striking earrings.,cate blanchett,celebcaption_public_figure,summary_with_name,2.jpg,cate_blanchett.jsonl
celebcaption_cate_blanchett_003_summary_with_name,Cate Blanchett poses in sequined gown at AACTA Awards.,cate blanchett,celebcaption_public_figure,summary_with_name,3.jpg,cate_blanchett.jsonl
celebcaption_cate_blanchett_004_detailed_with_name,"Cate Blanchett is pictured at a formal event wearing a sequined dress with a deep neckline. Her blonde hair is styled loosely, and she has a subtle makeup look, focusing on her eyes and soft pink lipstick.",cate blanchett,celebcaption_public_figure,detailed_with_name,4.jpg,cate_blanchett.jsonl
celebcaption_cate_blanchett_005_detailed_with_name,"Cate Blanchett is pictured in this close-up shot wearing a textured silver and black outfit, with her blonde hair styled back. She has light makeup that highlights her blue eyes and natural complexion, standing against a dark, tufted leather background.",cate blanchett,celebcaption_public_figure,detailed_with_name,5.jpg,cate_blanchett.jsonl
celebcaption_celine_dion_001_summary_with_name,Celine Dion in a white gown on a red carpet event.,celine dion,celebcaption_public_figure,summary_with_name,1.jpg,celine_dion.jsonl
celebcaption_celine_dion_002_summary_with_name,Celine Dion in white dress with wavy hair and statement necklace.,celine dion,celebcaption_public_figure,summary_with_name,2.jpg,celine_dion.jsonl
celebcaption_celine_dion_003_summary_with_name,Celine Dion attends UCLA Luminary Awards in elegant dress.,celine dion,celebcaption_public_figure,summary_with_name,3.jpg,celine_dion.jsonl
celebcaption_celine_dion_004_detailed_with_name,"Celine Dion is wearing a striking, deep green sequined gown with a plunging neckline and a thigh-high slit, accessorized with matching green heels and emerald jewelry, posing confidently on a red carpet next to elegant floral decor and Grammy award symbols. The gown also features a statement belt with a decorative buckle, highlighting her waist.",celine dion,celebcaption_public_figure,detailed_with_name,4.jpg,celine_dion.jsonl
celebcaption_celine_dion_005_detailed_with_name,"Celine Dion is wearing a sparkling green gown with a deep V neckline and a high slit, featuring a large green bow belt at the waist. She pairs the outfit with matching green heels and emerald earrings while standing on a red carpet at an event.",celine dion,celebcaption_public_figure,detailed_with_name,5.jpg,celine_dion.jsonl
celebcaption_channing_tatum_001_summary_with_name,Channing Tatum in a serious conversation wearing a cowboy outfit.,channing tatum,celebcaption_public_figure,summary_with_name,1.jpg,channing_tatum.jsonl
celebcaption_channing_tatum_002_summary_with_name,Channing Tatum in a close-up portrait with a casual look.,channing tatum,celebcaption_public_figure,summary_with_name,2.jpg,channing_tatum.jsonl
celebcaption_channing_tatum_003_summary_with_name,Channing Tatum poses casually in a white tank top.,channing tatum,celebcaption_public_figure,summary_with_name,3.jpg,channing_tatum.jsonl
celebcaption_channing_tatum_004_detailed_with_name,"Channing Tatum is depicted in this image wearing a light beige t-shirt, with a contemplative expression on his face as he looks downward. The background is softly blurred, emphasizing his thoughtful demeanor and casual attire.",channing tatum,celebcaption_public_figure,detailed_with_name,4.jpg,channing_tatum.jsonl
celebcaption_channing_tatum_005_detailed_with_name,"Channing Tatum is pictured wearing a light gray suit jacket over a white shirt, with a close-cropped hairstyle and a serious expression on his face. Behind him, there is a partially visible handicap sign on a dark-colored wall.",channing tatum,celebcaption_public_figure,detailed_with_name,5.jpg,channing_tatum.jsonl
celebcaption_chris_evans_001_summary_with_name,Chris Evans in a dark coat with a serious expression.,chris evans,celebcaption_public_figure,summary_with_name,1.jpg,chris_evans.jsonl
celebcaption_chris_evans_002_summary_with_name,Chris Evans poses in a cream sweater with a contemplative look.,chris evans,celebcaption_public_figure,summary_with_name,2.jpg,chris_evans.jsonl
celebcaption_chris_evans_003_summary_with_name,Chris Evans poses in a burgundy jacket against an orange background.,chris evans,celebcaption_public_figure,summary_with_name,3.jpg,chris_evans.jsonl
celebcaption_chris_evans_004_detailed_with_name,"Chris Evans is shown in a close-up portrait wearing a blue shirt and a thin necklace, with well-groomed hair and beard, looking thoughtfully into the camera against a plain white background.",chris evans,celebcaption_public_figure,detailed_with_name,4.jpg,chris_evans.jsonl
celebcaption_chris_evans_005_detailed_with_name,"Chris Evans is shown in a close-up portrait with a full beard and short brown hair, wearing a dark blue shirt and jacket against a subtle dark background. His expression is calm and thoughtful, highlighting his blue eyes and textured facial features.",chris evans,celebcaption_public_figure,detailed_with_name,5.jpg,chris_evans.jsonl
celebcaption_chris_hemsworth_001_summary_with_name,Chris Hemsworth walking in airport wearing casual stylish outfit.,chris hemsworth,celebcaption_public_figure,summary_with_name,1.jpg,chris_hemsworth.jsonl
celebcaption_chris_hemsworth_002_summary_with_name,Chris Hemsworth walking casually outside in sunglasses and casual wear.,chris hemsworth,celebcaption_public_figure,summary_with_name,2.jpg,chris_hemsworth.jsonl
