id,prompt,target_concept,category,habitat,template_id
animal_water_jellyfish_001,a jellyfish drifting in clear ocean water,jellyfish,animal_water,water,motion_scene
animal_water_jellyfish_002,a jellyfish glowing softly in an aquarium,jellyfish,animal_water,water,resting_scene
animal_water_jellyfish_003,a jellyfish floating near the camera with long tentacles,jellyfish,animal_water,water,portrait_scene
animal_water_sea_turtle_001,a sea turtle swimming above a coral reef,sea turtle,animal_water,water,motion_scene
animal_water_sea_turtle_002,a sea turtle gliding through sunlight underwater,sea turtle,animal_water,water,action_scene
animal_water_sea_turtle_003,a sea turtle looking at the camera near seagrass,sea turtle,animal_water,water,portrait_scene
animal_water_seahorse_001,a seahorse floating beside seaweed,seahorse,animal_water,water,resting_scene
animal_water_seahorse_002,a seahorse drifting through shallow water,seahorse,animal_water,water,motion_scene
animal_water_seahorse_003,a seahorse looking tiny near bright coral,seahorse,animal_water,water,portrait_scene
animal_water_starfish_001,a starfish resting on wet sand,starfish,animal_water,water,resting_scene
animal_water_starfish_002,a starfish clinging to a tide pool rock,starfish,animal_water,water,action_scene
animal_water_starfish_003,a starfish seen close up beneath shallow water,starfish,animal_water,water,portrait_scene
animal_water_crab_001,a crab standing on a sandy beach,crab,animal_water,water,resting_scene
animal_water_crab_002,a crab walking sideways across wet sand,crab,animal_water,water,motion_scene
animal_water_crab_003,a crab looking toward the camera near a tide pool,crab,animal_water,water,portrait_scene
animal_water_lobster_001,a lobster resting on a rocky sea floor,lobster,animal_water,water,resting_scene
animal_water_lobster_002,a lobster walking across underwater stones,lobster,animal_water,water,motion_scene
animal_water_lobster_003,a lobster looking at the camera with claws visible,lobster,animal_water,water,portrait_scene
animal_water_penguin_001,a penguin standing on icy ground,penguin,animal_water,water,resting_scene
animal_water_penguin_002,a penguin swimming through cold blue water,penguin,animal_water,water,motion_scene
animal_water_penguin_003,a penguin looking at the camera on a snowy shore,penguin,animal_water,water,portrait_scene
animal_water_seal_001,a seal resting on a smooth rock near the sea,seal,animal_water,water,resting_scene
animal_water_seal_002,a seal swimming below clear water,seal,animal_water,water,motion_scene
animal_water_seal_003,a seal looking at the camera beside ocean foam,seal,animal_water,water,portrait_scene
animal_water_sea_lion_001,a sea lion resting on a sunny pier,sea lion,animal_water,water,resting_scene
animal_water_sea_lion_002,a sea lion swimming through coastal water,sea lion,animal_water,water,motion_scene
animal_water_sea_lion_003,a sea lion looking at the camera near harbor rocks,sea lion,animal_water,water,portrait_scene
animal_water_walrus_001,a walrus resting on Arctic ice,walrus,animal_water,water,resting_scene
animal_water_walrus_002,a walrus moving through shallow cold water,walrus,animal_water,water,motion_scene
animal_water_walrus_003,a walrus looking at the camera with long tusks,walrus,animal_water,water,portrait_scene
animal_water_manatee_001,a manatee floating in gentle river water,manatee,animal_water,water,resting_scene
animal_water_manatee_002,a manatee swimming through clear spring water,manatee,animal_water,water,motion_scene
animal_water_manatee_003,a manatee looking toward the camera underwater,manatee,animal_water,water,portrait_scene
animal_water_clownfish_001,a clownfish swimming near an anemone,clownfish,animal_water,water,motion_scene
animal_water_clownfish_002,a clownfish weaving through coral branches,clownfish,animal_water,water,action_scene
animal_water_clownfish_003,a clownfish looking at the camera in reef water,clownfish,animal_water,water,portrait_scene
animal_water_goldfish_001,a goldfish floating inside a clear aquarium,goldfish,animal_water,water,resting_scene
animal_water_goldfish_002,a goldfish swimming past green aquarium plants,goldfish,animal_water,water,motion_scene
animal_water_goldfish_003,a goldfish looking at the camera through clear water,goldfish,animal_water,water,portrait_scene
animal_flying_eagle_001,an eagle perched on a high tree branch,eagle,animal_flying,flying,resting_scene
animal_flying_eagle_002,an eagle flying above a mountain valley,eagle,animal_flying,flying,motion_scene
animal_flying_eagle_003,an eagle looking toward the camera with sharp eyes,eagle,animal_flying,flying,portrait_scene
animal_flying_hawk_001,a hawk perched on a wooden fence post,hawk,animal_flying,flying,resting_scene
animal_flying_hawk_002,a hawk flying over a wide field,hawk,animal_flying,flying,motion_scene
animal_flying_hawk_003,a hawk looking at the camera from a branch,hawk,animal_flying,flying,portrait_scene
animal_flying_falcon_001,a falcon perched on a rocky cliff,falcon,animal_flying,flying,resting_scene
animal_flying_falcon_002,a falcon flying through a clear sky,falcon,animal_flying,flying,motion_scene
animal_flying_falcon_003,a falcon looking at the camera in bright daylight,falcon,animal_flying,flying,portrait_scene
animal_flying_owl_001,an owl perched inside a quiet forest,owl,animal_flying,flying,resting_scene
animal_flying_owl_002,an owl flying through a moonlit clearing,owl,animal_flying,flying,motion_scene
animal_flying_owl_003,an owl looking at the camera with wide eyes,owl,animal_flying,flying,portrait_scene
animal_flying_parrot_001,a parrot perched on a tropical branch,parrot,animal_flying,flying,resting_scene
animal_flying_parrot_002,a parrot flying through bright jungle leaves,parrot,animal_flying,flying,motion_scene
animal_flying_parrot_003,a parrot looking at the camera with colorful feathers,parrot,animal_flying,flying,portrait_scene
animal_flying_macaw_001,a macaw perched beside rainforest vines,macaw,animal_flying,flying,resting_scene
animal_flying_macaw_002,a macaw flying over a green jungle canopy,macaw,animal_flying,flying,motion_scene
animal_flying_macaw_003,a macaw looking at the camera with blue and yellow feathers,macaw,animal_flying,flying,portrait_scene
animal_flying_peacock_001,a peacock standing in a palace garden,peacock,animal_flying,flying,resting_scene
animal_flying_peacock_002,a peacock walking across a green lawn,peacock,animal_flying,flying,motion_scene
animal_flying_peacock_003,a peacock looking at the camera with tail feathers spread,peacock,animal_flying,flying,portrait_scene
animal_flying_flamingo_001,a flamingo standing in shallow pink water,flamingo,animal_flying,flying,resting_scene
animal_flying_flamingo_002,a flamingo walking through a quiet lagoon,flamingo,animal_flying,flying,motion_scene
animal_flying_flamingo_003,a flamingo looking at the camera with its curved neck,flamingo,animal_flying,flying,portrait_scene
animal_flying_swan_001,a swan floating on a calm lake,swan,animal_flying,flying,resting_scene
animal_flying_swan_002,a swan gliding across reflective water,swan,animal_flying,flying,motion_scene
animal_flying_swan_003,a swan looking at the camera near lake reeds,swan,animal_flying,flying,portrait_scene
animal_flying_duck_001,a duck standing beside a small pond,duck,animal_flying,flying,resting_scene
animal_flying_duck_002,a duck swimming across quiet water,duck,animal_flying,flying,motion_scene
animal_flying_duck_003,a duck looking at the camera near floating leaves,duck,animal_flying,flying,portrait_scene
animal_flying_goose_001,a goose standing on a grassy riverbank,goose,animal_flying,flying,resting_scene
animal_flying_goose_002,a goose flying over a lake at sunrise,goose,animal_flying,flying,motion_scene
animal_flying_goose_003,a goose looking at the camera near shallow water,goose,animal_flying,flying,portrait_scene
animal_flying_chicken_001,a chicken standing in a farmyard,chicken,animal_flying,flying,resting_scene
animal_flying_chicken_002,a chicken walking across a dusty yard,chicken,animal_flying,flying,motion_scene
animal_flying_chicken_003,a chicken looking at the camera beside straw,chicken,animal_flying,flying,portrait_scene
animal_flying_rooster_001,a rooster standing on a wooden fence,rooster,animal_flying,flying,resting_scene
animal_flying_rooster_002,a rooster walking through a sunny farmyard,rooster,animal_flying,flying,motion_scene
animal_flying_rooster_003,a rooster looking at the camera with bright feathers,rooster,animal_flying,flying,portrait_scene
animal_flying_turkey_001,a turkey standing in a farm field,turkey,animal_flying,flying,resting_scene
animal_flying_turkey_002,a turkey walking through autumn leaves,turkey,animal_flying,flying,motion_scene
animal_flying_turkey_003,a turkey looking at the camera with tail feathers open,turkey,animal_flying,flying,portrait_scene
animal_flying_penguin_bird_001,a puffin standing on a grassy sea cliff,puffin,animal_flying,flying,resting_scene
animal_flying_penguin_bird_002,a puffin flying above cold ocean waves,puffin,animal_flying,flying,motion_scene
animal_flying_penguin_bird_003,a puffin looking at the camera with its colorful beak,puffin,animal_flying,flying,portrait_scene
animal_flying_seagull_001,a seagull standing on a beach railing,seagull,animal_flying,flying,resting_scene
animal_flying_seagull_002,a seagull flying over ocean surf,seagull,animal_flying,flying,motion_scene
animal_flying_seagull_003,a seagull looking at the camera on a sandy shore,seagull,animal_flying,flying,portrait_scene
animal_flying_pelican_001,a pelican standing on a wooden dock,pelican,animal_flying,flying,resting_scene
animal_flying_pelican_002,a pelican flying low over coastal water,pelican,animal_flying,flying,motion_scene
animal_flying_pelican_003,a pelican looking at the camera with its large bill,pelican,animal_flying,flying,portrait_scene
animal_flying_toucan_001,a toucan perched on a rainforest branch,toucan,animal_flying,flying,resting_scene
animal_flying_toucan_002,a toucan flying between tropical trees,toucan,animal_flying,flying,motion_scene
animal_flying_toucan_003,a toucan looking at the camera with a large colorful beak,toucan,animal_flying,flying,portrait_scene
animal_flying_hummingbird_001,a hummingbird hovering beside a red flower,hummingbird,animal_flying,flying,resting_scene
animal_flying_hummingbird_002,a hummingbird flying between garden blossoms,hummingbird,animal_flying,flying,motion_scene
animal_flying_hummingbird_003,a hummingbird looking delicate near bright petals,hummingbird,animal_flying,flying,portrait_scene
animal_flying_kingfisher_001,a kingfisher perched above a clear stream,kingfisher,animal_flying,flying,resting_scene
animal_flying_kingfisher_002,a kingfisher diving toward river water,kingfisher,animal_flying,flying,action_scene
animal_flying_kingfisher_003,a kingfisher looking at the camera with blue feathers,kingfisher,animal_flying,flying,portrait_scene
animal_flying_woodpecker_001,a woodpecker perched on a tree trunk,woodpecker,animal_flying,flying,resting_scene
animal_flying_woodpecker_002,a woodpecker tapping on rough tree bark,woodpecker,animal_flying,flying,action_scene
animal_flying_woodpecker_003,a woodpecker looking at the camera on a forest tree,woodpecker,animal_flying,flying,portrait_scene
animal_flying_crow_001,a crow perched on an old fence,crow,animal_flying,flying,resting_scene
animal_flying_crow_002,a crow flying over a quiet field,crow,animal_flying,flying,motion_scene
animal_flying_crow_003,a crow looking at the camera on a bare branch,crow,animal_flying,flying,portrait_scene
animal_flying_raven_001,a raven perched on a rocky outcrop,raven,animal_flying,flying,resting_scene
animal_flying_raven_002,a raven flying through a cloudy sky,raven,animal_flying,flying,motion_scene
animal_flying_raven_003,a raven looking at the camera with glossy feathers,raven,animal_flying,flying,portrait_scene
animal_flying_sparrow_001,a sparrow perched on a garden fence,sparrow,animal_flying,flying,resting_scene
animal_flying_sparrow_002,a sparrow flying above a small courtyard,sparrow,animal_flying,flying,motion_scene
animal_flying_sparrow_003,a sparrow looking at the camera near spring flowers,sparrow,animal_flying,flying,portrait_scene
animal_flying_bat_001,a bat hanging upside down in a cave,bat,animal_flying,flying,resting_scene
animal_flying_bat_002,a bat flying through a dark cave opening,bat,animal_flying,flying,motion_scene
animal_flying_bat_003,a bat looking toward the camera with folded wings,bat,animal_flying,flying,portrait_scene
animal_reptile_turtle_001,a turtle resting on a sunlit log,turtle,animal_reptile_amphibian,land,resting_scene
animal_reptile_turtle_002,a turtle walking slowly across wet grass,turtle,animal_reptile_amphibian,land,motion_scene
animal_reptile_turtle_003,a turtle looking at the camera near a pond,turtle,animal_reptile_amphibian,land,portrait_scene
animal_reptile_tortoise_001,a tortoise standing on dry desert ground,tortoise,animal_reptile_amphibian,land,resting_scene
animal_reptile_tortoise_002,a tortoise walking through short grass,tortoise,animal_reptile_amphibian,land,motion_scene
animal_reptile_tortoise_003,a tortoise looking at the camera near small rocks,tortoise,animal_reptile_amphibian,land,portrait_scene
animal_reptile_lizard_001,a lizard resting on a warm stone,lizard,animal_reptile_amphibian,land,resting_scene
animal_reptile_lizard_002,a lizard running across desert sand,lizard,animal_reptile_amphibian,land,motion_scene
animal_reptile_lizard_003,a lizard looking at the camera beside cactus plants,lizard,animal_reptile_amphibian,land,portrait_scene
animal_reptile_gecko_001,a gecko clinging to a smooth wall,gecko,animal_reptile_amphibian,land,resting_scene
animal_reptile_gecko_002,a gecko walking across a tropical leaf,gecko,animal_reptile_amphibian,land,motion_scene
animal_reptile_gecko_003,a gecko looking at the camera with bright eyes,gecko,animal_reptile_amphibian,land,portrait_scene
animal_reptile_chameleon_001,a chameleon resting on a green branch,chameleon,animal_reptile_amphibian,land,resting_scene
animal_reptile_chameleon_002,a chameleon walking along a leafy stem,chameleon,animal_reptile_amphibian,land,motion_scene
animal_reptile_chameleon_003,a chameleon looking at the camera with curled tail,chameleon,animal_reptile_amphibian,land,portrait_scene
animal_reptile_iguana_001,an iguana resting on a sunlit rock,iguana,animal_reptile_amphibian,land,resting_scene
animal_reptile_iguana_002,an iguana walking through tropical plants,iguana,animal_reptile_amphibian,land,motion_scene
animal_reptile_iguana_003,an iguana looking at the camera with spines visible,iguana,animal_reptile_amphibian,land,portrait_scene
animal_reptile_snake_001,a snake resting on warm sand,snake,animal_reptile_amphibian,land,resting_scene
animal_reptile_snake_002,a snake moving through tall grass,snake,animal_reptile_amphibian,land,motion_scene
animal_reptile_snake_003,a snake looking toward the camera near a branch,snake,animal_reptile_amphibian,land,portrait_scene
animal_reptile_crocodile_001,a crocodile resting beside a muddy river,crocodile,animal_reptile_amphibian,water,resting_scene
animal_reptile_crocodile_002,a crocodile swimming through shallow swamp water,crocodile,animal_reptile_amphibian,water,motion_scene
animal_reptile_crocodile_003,a crocodile looking at the camera near river reeds,crocodile,animal_reptile_amphibian,water,portrait_scene
animal_reptile_alligator_001,an alligator resting on a riverbank,alligator,animal_reptile_amphibian,water,resting_scene
animal_reptile_alligator_002,an alligator swimming through a quiet marsh,alligator,animal_reptile_amphibian,water,motion_scene
animal_reptile_alligator_003,an alligator looking at the camera from shallow water,alligator,animal_reptile_amphibian,water,portrait_scene
animal_reptile_frog_001,a frog sitting on a lily pad,frog,animal_reptile_amphibian,water,resting_scene
animal_reptile_frog_002,a frog jumping across wet stones,frog,animal_reptile_amphibian,water,action_scene
animal_reptile_frog_003,a frog looking at the camera beside pond plants,frog,animal_reptile_amphibian,water,portrait_scene
animal_reptile_salamander_001,a salamander resting on wet forest moss,salamander,animal_reptile_amphibian,land,resting_scene
animal_reptile_salamander_002,a salamander walking beside a small stream,salamander,animal_reptile_amphibian,land,motion_scene
animal_reptile_salamander_003,a salamander looking at the camera on a damp rock,salamander,animal_reptile_amphibian,land,portrait_scene
animal_insect_butterfly_001,a butterfly resting on a purple flower,butterfly,animal_flying,flying,resting_scene
animal_insect_butterfly_002,a butterfly flying through a sunny meadow,butterfly,animal_flying,flying,motion_scene
animal_insect_butterfly_003,a butterfly shown close up with patterned wings,butterfly,animal_flying,flying,portrait_scene
animal_insect_bee_001,a bee resting on a yellow flower,bee,animal_flying,flying,resting_scene
animal_insect_bee_002,a bee flying between garden blossoms,bee,animal_flying,flying,motion_scene
animal_insect_bee_003,a bee shown close up near pollen,bee,animal_flying,flying,portrait_scene
animal_insect_dragonfly_001,a dragonfly resting on a reed,dragonfly,animal_flying,flying,resting_scene
animal_insect_dragonfly_002,a dragonfly flying above a pond,dragonfly,animal_flying,flying,motion_scene
animal_insect_dragonfly_003,a dragonfly shown close up with transparent wings,dragonfly,animal_flying,flying,portrait_scene
animal_insect_ladybug_001,a ladybug resting on a green leaf,ladybug,animal_land,land,resting_scene
animal_insect_ladybug_002,a ladybug walking across a flower stem,ladybug,animal_land,land,motion_scene
animal_insect_ladybug_003,a ladybug shown close up with red spotted shell,ladybug,animal_land,land,portrait_scene
